,name,score,document_length
107,Brilliance China Automotive Hldg. (ADR),0.0007212643251686525,4818
108,Shanghai Lianming Machinery Co Ltd,0.0007156298963781838,3621
109,AvtoKrAZ PAT,0.0006951142926493046,5169
110,China Motor Corporation,0.0006722839840716758,8444
111,AVTOVAZ OAO,0.0006704112886333181,7127
112,Grande West Transportation Group Inc,0.0005806772327378559,4323
113,CMC Investment Joint Stock Co,0.0004956075385374932,4423
114,"Thai Rung Union Car Public Co., Ltd.",0.0004590869180076509,5912
115,Force Motors Ltd,0.0004319870693397095,6909
116,"HYUNDAI MOBIS CO., LTD.",0.0004189607949823032,5480
117,A-Jin Industry Co Ltd,0.0004057340204368785,4819
118,Aftab Automobiles Ltd,0.0004030692950096254,6575
119,GHANDHARA INDUSTRIES LIMITED,0.0003628457378807093,3140
120,EDAG Engineering Group AG,0.00034699851401207417,4411
121,Karsan Otomotiv Sanayii Ve Ticaret A.S.,0.0003352782941801463,4643
122,Suzuki Motor Corp,0.0002890886489907641,25213
123,TVS Motor Company Limited,0.00028444435597921525,7715
124,Blue Bird Corp,0.0002605167840205161,10654
125,EN3 Co Ltd,0.00025646518307467905,2049
126,"Jiangling Motors Corporation, Ltd.",0.00025646332034565404,13699
127,Jardine Cycle & Carriage Ltd,0.0002480201834350538,5222
128,Sinotruk (Hong Kong) Limited,0.0002370311930159389,9134
129,Eicher Motors Ltd,0.00021003635135272223,6562
130,Morita Holdings Corp,0.0001991359835481389,2836
131,"KAMA CO., LTD.",0.00013717663578253619,3078
132,Brilliance China Automotive Holding Ltd.,0.00011499290985975881,11793
133,"KANEMATSU ENGINEERING CO., LTD.",0.00010174183392327227,3752
134,Neftekamskiy avtozavod OAO (P),6.244546256859096e-05,2784
135,Ghandhara Nissan Ltd.,5.5102709474365936e-05,12797
136,SML Isuzu Ltd,4.4859778129031666e-05,5339
137,"Linhai Co., Ltd.",2.782564988210428e-05,6080
138,Motores Diesel Andinos SA,2.4943580535550375e-05,8251
139,Zaporiz'kyi Avtomobil'nyi Zavod PAT,5.223727826380587e-06,7157
