,name,score,document_length
102,"Kobe Steel, Ltd. (ADR)",3.888906151644686e-06,6665
103,STEEL FLOWER CO LTD,3.36464538759744e-06,1801
104,Son Ha Sai Gon JSC,3.285214763964279e-06,6564
105,AK Steel Holding Corporation,3.2510201977522044e-06,7447
106,Dong Il Steel Manufacturing Co Ltd,2.7093943309699622e-06,2957
107,Innoventive Industries Ltd,2.67036802387442e-06,3843
108,Garg Furnace Ltd,2.4596368773747502e-06,3849
109,Mechel OAO (ADR),2.0852572378762708e-06,5156
110,Moskovskiy mtllrgchski zvd Srp i mlt OAO,1.811012394371476e-06,7426
111,Metallurg. zavod Elektrostal' OAO (P),5.896096184486081e-07,21017
