name,score,document_length,url_count,automobile,bus,city bus,coach,hybrid
TOYOTA INDUSTRIES CORPORATION,0.005221235124470428,3950,12,24,33,0,0,1
Hwashin Precision Co Ltd,0.005055921001736734,2601,8,24,20,0,0,0
Indomobil Sukses Internasional Tbk PT,0.00493807216144895,2916,5,6,18,0,1,0
Maruti Suzuki India Ltd,0.004850566065949129,18297,11,24,33,0,0,4
Nissan Motor Co Ltd (ADR),0.00472209411738328,7234,5,20,18,0,0,2
Beiqi Foton Motor Company Limited,0.004669666153259517,4007,6,17,31,0,1,0
Kian Shen Corporation,0.004584672298246636,2168,9,16,20,0,0,0
AVTOVAZ OAO,0.0045323380620605,7127,6,45,42,0,0,0
VA Automotive i Hassleholm AB,0.004418979208451978,3967,12,7,37,0,0,1
Brilliance China Automotive Holding Ltd.,0.0040444438527399195,11793,7,50,179,0,1,0
Zhonghang Heibao Co Ltd,0.003980094812429454,3719,8,11,16,0,1,0
Dewan Farooq Motors Ltd.,0.003955912854079901,2757,8,17,15,0,0,0
Arctic Cat Inc,0.003852057810981904,7107,6,0,43,1,0,0
GHANDHARA INDUSTRIES LIMITED,0.0038431962671941176,3140,9,5,67,0,1,0
Aerosun Corporation,0.003474307126195146,3482,7,4,23,0,1,0
Karsan Otomotiv Sanayii Ve Ticaret A.S.,0.0033674533794542105,4643,10,5,86,0,2,0
Force Motors Ltd,0.003276389623433375,6909,11,18,55,0,1,0
CNHTC Jinan Truck Co Ltd,0.0032700685275424187,3304,7,6,26,0,1,0
Sinotruk (Hong Kong) Limited,0.0030526627136040173,9134,11,22,84,0,1,0
"Jiangling Motors Corporation, Ltd.",0.0028201226495208885,13699,6,30,70,0,1,0
Great Wall Motor Co Ltd,0.0025491059864185188,6140,16,13,17,0,1,0
Honda Atlas Cars (Pakistan) Ltd.,0.0024927428205230406,3029,7,16,14,0,0,0
BYD Company Limited,0.0024629750857230095,3701,5,17,16,0,0,0
"Jiangsu Yueda Investment Co., Ltd",0.0022346855454667175,2956,7,13,19,0,0,0
Volkswagen AG,0.0022240670614562,11923,7,15,27,0,0,2
Ghandhara Nissan Ltd.,0.002135936460610549,12797,11,19,187,0,1,0
"HYUNDAI MOBIS CO., LTD.",0.002120199752330609,5480,10,20,47,0,0,0
"NISSAN SHATAI CO., LTD.",0.0019724867141433546,1804,6,7,11,0,0,0
Brilliance China Automotive Hldg. (ADR),0.0016957943632351143,4818,7,12,26,0,0,0
AvtoKrAZ PAT,0.0016613749914567977,5169,7,11,27,0,0,0
Porsche Automobil Holding SE,0.0016085310586448488,5070,7,16,12,0,0,0
Jinxi Axle Company Limited,0.0015638773333408254,3383,8,2,17,0,1,0
"Thai Rung Union Car Public Co., Ltd.",0.0014702108284843276,5912,12,13,34,0,0,0
Sollers PAO,0.0014519717084790064,2732,8,7,14,0,0,0
EXOR SpA,0.0013723123667997667,3095,5,6,8,0,0,0
Eicher Motors Ltd,0.0013722394987113302,6562,12,13,61,0,0,0
Rosenbauer International AG,0.0013091380311537413,6880,5,0,12,0,0,1
CMC Investment Joint Stock Co,0.001236672399244393,4423,6,9,29,0,0,0
TVS Motor Company Limited,0.0011918056926475912,7715,9,17,41,0,0,0
Jardine Cycle & Carriage Ltd,0.0011126883512035397,5222,9,10,46,0,0,0
UMW Holdings Bhd,0.0009476249615383016,3872,7,5,11,0,0,0
