name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
C SUN MFG. LTD.,0.46502823797757287,2975,7,0,1,5,1,23,3,17,4
Frencken Group Limited,0.40629378831767166,2061,8,3,0,0,3,5,4,4,0
Eclat Forever Machinery Co Ltd,0.302196241539823,3528,11,0,1,2,2,4,5,16,13
"AMPOC FAR-EAST CO.,LTD",0.2361227573339268,2402,10,0,2,3,0,12,6,15,2
Aurotek Corp,0.23303024154687496,6729,12,1,0,0,0,89,0,9,3
Charm Engineering Co Ltd,0.22731457655166526,3233,6,0,6,21,0,5,0,23,0
Symtek Automation Asia Co Ltd,0.22329071463646644,2743,6,0,1,5,1,8,3,7,2
Precisetech Networks Beijing Inc,0.21122631758690652,201222,1,88,0,4,6,46,5,50,39
SHIBAURA MECHATRONICS CORPORATION,0.19794195149807187,3168,10,0,0,87,0,0,0,58,5
Ta Liang Technology Co Ltd,0.17435825026818885,2438,5,0,0,0,0,22,2,1,4
Usun Technology Co Ltd,0.17390422372405,3419,9,0,2,10,1,6,2,9,1
Kctech Co Ltd,0.14552847082335,2115,8,0,2,6,4,0,0,27,0
Tokyo Electron Ltd,0.12213476342363613,5943,13,2,14,7,0,0,0,53,0
E&R Engineering Corp,0.11988612240713059,3645,9,0,0,0,0,1,4,15,8
Avaco Co Ltd,0.10851440301105823,2368,5,0,6,6,0,0,0,6,0
"Gongin Precision Industrial Co.,Ltd",0.10465331320636913,2279,8,1,0,0,4,0,0,17,0
Screen Holdings Co Ltd,0.10266751988978286,3882,11,0,3,5,0,3,4,33,0
"SHINSUNG FA CO., LTD.",0.0956526255978356,3360,5,0,5,9,0,0,0,19,1
Ishii Hyoki Co Ltd,0.09121914691225932,3055,8,1,0,1,0,4,2,16,1
Taiwan Kong King Co Ltd,0.07737009548598626,7605,9,0,0,1,0,16,4,15,0
Marketech International Corp.,0.07488596121638591,2569,7,0,0,11,0,0,0,1,3
"EO Technics Co., Ltd.",0.07191140708471075,2563,8,0,0,2,0,23,0,29,0
Seho Robot Co Ltd,0.06357728458832362,2742,5,0,0,0,0,6,3,8,0
"Jusung Engineering Co., Ltd.",0.05854441423692625,3412,8,0,1,1,4,0,0,37,0
"Key Ware Electronics Co., Ltd.",0.05728690506202365,4261,7,2,0,0,0,4,3,0,0
"Topoint Technology Co., Ltd.",0.05525492904842508,3598,4,0,0,0,0,12,4,2,0
"Osaki Engineering Co., Ltd.",0.05450343445276855,3917,5,0,3,2,0,1,3,10,0
"DMS Co., LTD.",0.05214716077272732,2574,4,0,0,2,4,0,0,9,0
Chime Ball Technology Co Ltd,0.0509163019490829,4585,5,0,0,0,0,4,2,15,3
All Ring Tech Co Ltd,0.05042025394833194,2040,5,0,0,1,1,2,0,8,1
"Chien Wei Precise Technology Co., Ltd.",0.0498685475785131,3447,5,0,0,0,4,1,1,5,0
AIXTRON SE,0.04766659294158413,5551,9,0,0,0,6,0,0,39,0
Tera Autotech Corp,0.047089121663627845,2417,6,0,0,0,0,11,0,3,0
Meere Company Inc,0.044922517815894875,2865,8,0,0,0,4,0,0,20,2
DSK CO LTD,0.04395133738892462,2282,4,0,2,2,0,4,2,4,0
Zeus Co Ltd,0.04286847533855083,2585,5,0,1,7,0,0,0,24,0
STI Co Ltd,0.04000949272846689,2102,4,0,0,6,0,1,0,17,0
Guangdong Zhengye Technology Co Ltd,0.038939833688575315,5305,7,0,0,0,0,46,0,0,0
RORZE CORPORATION,0.03366690846131664,2701,6,0,2,4,0,0,0,12,0
Juki Corp,0.032998394899852346,3168,4,0,0,0,7,1,0,0,0
Kodi M Co Ltd,0.03250702304178164,2857,6,0,2,5,0,0,0,18,0
SINGULUS TECHNOLOGIES  AG,0.03219139966229206,3602,8,0,0,0,4,0,0,20,0
AIXTRON SE (ADR),0.031113210906588525,4107,7,0,0,0,4,0,0,13,0
Wonik IPS Co Ltd,0.025896088681423374,3696,7,0,0,7,0,0,0,31,0
Aval Data Corp,0.025299765718382747,2478,3,2,0,0,0,0,0,8,0
Mycronic publ AB,0.02333500098728399,4448,4,0,0,2,0,11,0,1,0
SFA Engineering Corp,0.022753974431491512,1372,4,0,0,3,0,0,0,6,0
Gallant Precision Machining Co Ltd,0.02250836927218854,2844,4,0,1,0,0,2,0,3,1
Contrel Technology Co Ltd,0.022302208709695546,2565,4,0,0,0,1,0,0,12,1
"Paragon Technologies Co., Ltd.",0.019056069303078436,2371,4,0,0,0,0,0,1,0,3
Lotvacuum Co Ltd,0.01858235497462572,4916,8,0,0,7,0,0,0,22,0
Shenzhen JT Automation Equipment Co Ltd,0.01733212463875702,2035,5,0,0,0,0,6,2,0,0
"NuFlare Technology, Inc.",0.015326523815288233,2943,9,0,1,1,0,0,0,31,0
"SHOWA SHINKU CO.,LTD.",0.015220923901610077,3055,3,0,0,0,0,0,0,4,3
DISCO CORPORATION,0.014961311797552095,4081,6,0,2,0,1,0,0,20,0
Cosmos Machinery Enterprises Limited,0.014311242270426208,5127,5,0,0,0,0,0,9,0,0
"Meiki Co., Ltd.",0.012459910314346618,1913,7,0,0,0,0,0,7,0,0
Hanmi Semiconductor Co Ltd,0.01230873792797677,2290,8,0,0,0,0,1,0,47,0
Calitech Co Ltd,0.011887572524794172,2735,7,0,0,0,1,0,0,20,0
"TOKYO OHKA KOGYO CO., LTD.",0.011307248068120408,2407,13,0,0,0,0,0,0,49,1
ISHII TOOL & ENGINEERING CORPORATION,0.010991371503811641,3406,7,0,0,0,1,0,0,43,0
Axcelis Technologies Inc,0.010793977724592016,2915,5,0,0,0,1,0,0,19,0
Foxsemicon Integrated Technology Inc,0.010191280454807036,3969,6,0,1,1,0,0,0,20,0
"TOPGREEN TECHNOLOGY CO.,LTD",0.00964970244620147,3929,2,0,0,0,0,4,1,0,0
"HIRANO TECSEED Co., Ltd.",0.009419890531541256,5214,3,0,0,0,0,1,4,0,0
HB Technology Co Ltd,0.008233802250214507,3143,7,0,0,0,1,0,0,27,0
centrotherm photovoltaics AG,0.00805243772130736,2299,3,0,0,2,0,2,0,10,0
Single Well Industrial Corp,0.008050362072886891,3436,7,0,0,0,1,0,0,14,0
Sntek Co Ltd,0.008006259013828777,2279,5,0,0,0,0,0,0,12,1
