name,score,document_length,url_count,broadband,catv,component,converter,data center,ftth,optoelectronic,sensing,telecom,transceiver,transmitter
Finisar Corporation,0.5712239200540433,7223,13,2,0,58,0,27,0,8,19,3,117,3
Oe Solutions Co  Ltd,0.43743963609467973,4527,11,5,0,0,1,0,0,8,0,14,81,0
Lightron Fiber Optic Devices Inc,0.28131516187585537,4021,7,7,5,9,4,6,9,0,0,6,2,6
APAC Opto Electronics Inc.,0.25574390456398943,2255,9,0,0,18,0,0,0,0,0,5,41,1
Coretek Opto Corporation,0.19404170061602502,2216,7,1,0,2,0,0,0,0,1,3,27,0
Connection Technology Systems Inc,0.18617719758494877,5981,13,7,15,0,113,0,6,0,0,4,7,0
Filtronic Plc,0.17880389996308516,1941,9,44,0,10,0,0,0,0,0,7,9,0
Marvell Technology Group Ltd.,0.16745328194115508,11030,12,13,0,7,0,25,0,0,1,10,30,0
OB Telecom Electronics Co Ltd,0.15099338001002313,2905,8,0,0,0,24,0,0,0,0,51,7,14
NeoPhotonics Corp,0.15088111473364338,2357,7,0,0,17,0,1,0,4,0,7,9,4
IC Plus Corp,0.13086019733661025,3233,10,2,0,2,14,0,0,0,0,20,33,0
PCL Technologies Inc,0.12662247548705005,3887,6,0,0,6,1,0,1,1,0,4,16,0
Hangzhou CNCR-IT Co Ltd,0.12425825410782365,3491,10,0,1,11,7,0,3,0,0,7,5,4
"Silicon Image, Inc.",0.12201797282930618,8421,11,1,0,2,9,9,0,0,0,1,3,34
Axcen Photonics Corp,0.11753225861341311,2153,10,0,0,2,1,0,0,0,0,1,32,0
Screen Service Broadcasting Technologies,0.10398419553255014,2479,8,0,0,1,0,0,0,0,0,8,0,32
Fiberhome Telecommunication Tech.Co.Ltd,0.1011094822637273,3535,8,8,2,0,0,2,1,7,0,74,3,2
ZINWELL CORPORATION,0.08451634905485637,5475,10,16,16,1,34,0,0,0,0,0,0,0
TranSystem Inc.,0.0828705138000311,3530,4,0,0,1,9,0,0,0,0,4,8,5
Broadcom Corporation,0.07280875552666924,14223,14,24,1,19,2,10,0,2,2,19,6,2
"Japan Radio Co., Ltd.",0.062495299183260064,2257,4,1,0,6,3,0,0,3,0,1,4,0
Shunsin Technology Holdings Ltd,0.057736231971871325,3414,6,0,0,3,0,0,0,0,3,0,10,0
Excellence Optoelectronic Inc,0.0513436595877889,4979,9,0,0,17,0,0,0,73,0,1,0,0
Dongxu Optoelectronic Technology Co Ltd,0.04907942145904103,3079,7,0,0,5,0,0,0,57,0,0,0,0
Exar Corporation,0.04767315810820778,3560,8,0,0,6,0,2,0,2,3,7,2,3
Princeton Technology Corporation,0.04596994770202001,5445,8,6,0,2,18,0,0,0,0,0,6,13
Energous Corp,0.04553440742464233,5134,6,0,0,1,2,0,0,0,0,0,0,40
Shenzhen Absen Optoelectronic Co Ltd,0.043328876011126415,4583,12,0,0,4,0,0,0,73,0,3,0,0
Jiangxi Lianchuang Optoelec.Sc&Tech.,0.04040999212307655,3842,6,0,0,14,1,0,0,32,0,3,0,0
Ledman Optoelectronic Co Ltd,0.03921262479260324,4372,9,0,0,19,0,0,0,52,0,4,0,0
Wave Electronics Co Ltd,0.037582716519394745,4729,7,0,0,3,4,0,0,0,0,6,6,0
Parade Technologies Ltd,0.0352678190588204,5803,8,0,0,3,29,1,0,0,0,0,0,17
Advanced Optoelectronic Technology Inc,0.03424743022782048,2535,9,0,0,1,0,0,0,42,0,0,0,0
CTS Corporation,0.030114567901197008,3330,5,1,0,30,0,0,0,4,4,0,1,0
LuxNet Corp,0.029978279692288803,1596,6,0,0,9,1,0,1,0,0,0,1,2
Tonna Electronique SA,0.02997530908289458,3504,9,0,2,0,7,0,0,0,0,20,0,5
"Cirrus Logic, Inc.",0.026634944150671715,12486,14,0,0,25,155,0,0,5,0,1,1,0
Pulse Electronics Corp,0.025427555561526486,3037,7,2,1,25,2,0,0,3,0,19,2,0
AUK Corp,0.025399861843049203,4841,10,0,0,15,0,0,0,12,0,8,8,0
Vicor Corp,0.02518950868238481,38548,14,0,0,63,430,34,0,5,0,17,2,1
"FOCI Fiber Optic Communications, Inc.",0.02406667610061542,2526,8,4,0,10,1,0,2,0,0,2,2,0
Prime Electronics & Satellitics Inc,0.02227964803868115,3139,5,2,2,3,3,0,0,0,0,9,1,0
International Rectifier Corporation,0.021381234415570303,8912,8,0,0,16,26,0,0,2,0,6,3,0
BEIJING HUAHUAN ELECTRONICS CO LTD,0.020721874290559248,2860,8,0,0,1,59,0,0,0,0,2,1,0
Intersil Corp,0.01974871108724182,4993,6,0,0,13,14,0,0,13,0,0,2,0
"Everlight Electronics Co., Ltd.",0.01950519983487815,2988,7,0,0,13,0,0,0,18,0,0,0,2
Sequans Communications SA ADR,0.01898700395671049,9671,8,13,0,0,1,0,0,0,0,1,4,0
Ruby Tech Corporation,0.01752353894425822,5272,11,0,0,1,38,0,0,0,0,4,4,0
Richtek Technology Corp.,0.017443325184717008,7097,9,0,0,12,139,0,0,1,0,1,0,0
Telsys Ltd.,0.017415450497840844,5054,10,0,0,23,3,1,0,0,0,21,1,1
BOTHHAND ENTERPRISE INC.,0.01651600110187009,4518,17,2,0,18,91,0,0,0,0,2,0,0
"Hakuto Co., Ltd.",0.016374501001884194,1549,7,0,0,27,3,0,0,0,2,0,1,0
"New Japan Radio Co., Ltd.",0.01593312383273372,3970,10,1,0,32,12,0,0,12,0,0,0,0
Leyard Optoelectronic Co Ltd,0.015370928155800387,8647,9,0,0,5,1,0,0,35,0,1,0,0
Aishwarya Technologies and Telecom Ltd,0.01450898909210955,4405,9,0,0,3,2,0,0,0,0,99,1,0
"Micropac Industries, Inc.",0.014129112070753055,3812,8,0,0,18,0,0,0,13,0,0,0,1
EZconn Corp,0.01387345893264965,2701,6,1,1,6,0,0,0,0,0,1,2,0
Silicom Ltd.,0.013504274280489744,3181,7,0,0,2,11,14,0,0,0,0,0,0
"Holy Stone Enterprise Co., Ltd.",0.013107892489590173,6065,11,0,0,79,4,0,0,0,0,6,0,5
Gamma Nu Inc,0.01285669858695616,4699,2,0,0,1,4,0,0,0,0,0,4,0
Ace Technologies Corp.,0.012782201552159507,3424,6,1,1,14,0,0,0,0,0,7,1,0
Comintel Corporation Berhad,0.01262491267112034,6082,8,4,0,8,0,1,0,0,0,10,0,2
Gefran S.p.A.,0.012497392815347695,5309,11,0,0,18,8,0,0,0,0,0,0,5
Zhejiang Crystal Optech Co Ltd,0.01241345205790105,3649,7,0,0,13,1,0,0,8,0,4,0,0
"Jochu Technology Co., Ltd.",0.011903464556373687,3029,4,0,0,12,0,1,0,8,0,0,0,0
Power Integrations Inc,0.011500686135558956,4964,11,0,0,29,13,0,0,11,0,0,0,0
Castech Inc,0.010958745816600226,2690,7,1,0,22,1,0,0,3,0,7,0,0
ROHM COMPANY LIMITED,0.010481631783617018,5587,10,0,0,14,7,0,0,1,1,7,0,1
UR Holding SpA,0.010202961389664278,3714,5,0,0,9,10,0,0,1,0,2,2,0
Mro-Tek Limited,0.01015744655973252,3033,7,1,0,0,8,1,0,0,0,11,0,0
Uchi Technologies Bhd,0.009945935014006133,5022,7,0,0,3,0,0,0,10,2,0,0,0
UKC Holdings Corp,0.009835131960592412,2220,6,0,0,13,0,1,0,0,1,4,0,0
Amigo Technology Inc,0.009678971881248173,1895,7,15,0,0,0,0,0,0,0,2,0,0
Dialog Semiconductor PLC,0.009424269342844977,7992,14,0,0,7,26,0,0,0,3,1,0,0
Advanced Wireless Semiconductor Company,0.009321907910699173,4351,4,1,0,5,2,1,0,0,2,3,0,0
"Electronic Systems Technology, Inc.",0.00915894527890444,5007,6,0,0,6,1,0,0,0,0,0,3,0
"Fujian Sunnada Communication Co.,Ltd",0.008483847464450762,1902,4,2,0,0,0,0,0,0,0,6,2,2
Valiant Communications Ltd.,0.008397835869534426,5738,10,0,0,0,54,0,0,0,0,21,0,0
Forward Electronics Co Ltd,0.008307792044620578,3639,7,0,0,16,0,0,0,9,0,3,0,0
SHF Communication Technologies AG,0.007911482162185525,1576,3,3,0,8,1,0,0,0,0,0,0,0
Hitachi Kokusai Electric Inc,0.007854117199523116,1818,4,0,1,0,0,0,0,0,0,0,0,4
"Unity Opto Technology Co., Ltd.",0.007489886631007946,3173,5,1,0,7,0,0,0,2,0,3,0,2
MegaChips Corporation,0.007429303780960548,4207,2,5,0,1,4,0,0,0,0,1,0,0
Jorjin Technologies Inc,0.007416727332503181,2698,8,0,0,10,0,0,0,0,2,0,1,0
Silicon Motion Technology Corp. (ADR),0.006874060939382465,6335,4,0,0,0,0,0,0,0,0,1,4,0
Elite Advanced Laser Corporation,0.006701410065316444,2672,4,0,2,2,0,0,0,6,0,0,0,0
Higher Way Electronic Co Ltd,0.006629150487707286,3068,6,0,0,6,1,0,0,5,0,1,0,0
ACARD Technology Corp.,0.006564961262361512,3935,6,0,0,9,10,0,0,0,0,0,0,1
Hauman Technologies Corp,0.006281043992469157,2478,3,0,0,2,0,0,0,6,0,3,0,0
"Samsung Electro-Mechanics Co., Ltd.",0.005832601762096817,6972,8,1,0,34,4,0,0,1,0,2,0,2
Taiwan Surface Mounting Tech. Corp.,0.005404500167707965,3455,6,0,0,2,1,0,0,7,0,1,0,0
Loop Telecommunication Int'l Inc.,0.005395465371625093,4220,10,0,0,1,2,0,0,0,0,92,0,0
Norsat International Inc (USA),0.005106083212353576,5005,11,2,0,29,14,0,0,0,0,3,0,0
