name,score,document_length,url_count,automotive,circuit protection,connectors,diodes,electronic material,encoders,magnetic product,passive,position sensor,potentiometers,resistive product,resistor,semiconductor component,surge protective device,switches
Shenzhen Microgate Technology Co Ltd,0.0019729884798719917,2244,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Abico FS Co Ltd,0.001956796985307381,4056,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Wooriro Co Ltd,0.00136529553937178,7919,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Advanced Microelectronic Products Inc.,0.0013580028033789923,2248,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Orient Semiconductor Electronics Ltd,0.0013043475812154909,4287,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rubicon Technology, Inc.",0.000969504347246902,7234,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Ample Electronic Technology Co Ltd,0.0009643719053181094,5458,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"ThinTech Materials Technology Co., Ltd.",0.00089099602156581,4428,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Crystal Applied Technology Inc.,0.0008172818727081895,3291,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHIBAURA ELECTRONICS CO., LTD.",7.330420559591987e-05,2085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
