name,score,document_length,url_count,communication,component,distributor,wireless
Laird PLC,0.43774176936166365,10892,12,43,24,0,149
Alltek Technology Corp.,0.39006847542695733,2789,6,30,28,4,22
"TESSCO Technologies, Inc.",0.3576171083201632,2530,9,16,2,2,48
Promaster Technology Corp.,0.28290074799219594,2741,8,16,6,13,15
Powermatic Data Systems Ltd.,0.25650255972953695,2149,7,6,2,0,33
WPG Holdings Limited,0.218480333301738,3147,8,7,25,13,9
NICHIDENBO CORPORATION,0.21460838215783545,2605,4,1,5,0,19
InfoSonics Corporation,0.19951370112098488,4506,9,9,2,13,23
TeleChoice International Ltd.,0.17681548753353774,2628,9,49,1,7,9
Petrosetco Distribution Joint Stock Co,0.15330755185402786,2426,7,4,3,26,1
VOXX International Corp,0.13323305346897982,4171,7,13,1,5,12
Electrocomponents plc,0.11452055373259652,6385,11,1,147,58,0
Premier Farnell plc,0.10213007057695943,4470,11,3,19,23,1
S.A.S. Dragon Holdings Limited,0.10206820568420447,5181,8,14,24,20,3
Graybar Electric Co Inc,0.10042976125673239,6432,11,44,6,11,9
Wuhan P&S Information Technology Co Ltd,0.09971160155681708,2864,6,11,38,6,3
Shanghai Fortune Techgroup Share Co Ltd,0.08899449505482472,4039,7,11,4,3,7
Solomon Technology Corporation,0.08456659417126192,3664,8,3,12,6,4
Ambertech Limited,0.08278604351970857,4708,8,3,8,4,7
Chander Electronics Corp.,0.07441719389030363,3272,7,4,16,4,3
LITE-ON JAPAN LTD.,0.07364450621540104,4105,7,8,12,10,3
Aerospace Communications Holdings Co Ltd,0.06706271477331123,2947,8,79,1,1,4
Synnex Technology International Corp,0.06258801538195316,3593,8,11,18,12,2
ABC Data SA,0.06128421255172075,4245,8,4,5,28,0
Ingram Micro Inc.,0.06023892159384536,5744,6,3,3,1,9
Planet Communications Asia PCL,0.05969891872972109,1506,5,47,1,0,3
Promate Electronic Co Ltd,0.057649513524825585,2591,7,6,13,2,3
ASEC International Corporation,0.05764708947296426,2384,6,3,8,4,2
KANADEN CORPORATION,0.0569273120441116,2535,6,11,5,4,2
Surge Components Inc,0.0530134381902132,2924,12,2,119,12,0
Digiworld Corp,0.05284504105006727,3735,7,5,1,16,0
"Medifron DBT Co., Ltd.",0.052763968822434594,3348,3,8,0,0,8
"Avnet, Inc.",0.05057832758766579,1671,12,0,15,12,0
Taitron Components Inc.,0.05050964669345106,1376,11,0,65,8,0
Rexel SA,0.050326966812514674,3827,7,10,6,13,0
"ScanSource, Inc.",0.04874253749594242,3625,11,76,1,13,2
Zenitron Corp,0.04542325716877958,1040,6,3,5,2,2
Acal plc,0.04446819284063445,3965,9,13,16,2,3
