name,score,document_length,url_count,cable,rental,telecommunications
Palestinian Telecommunications Company,0.014608787718752602,9167,5,8,0,12
Qwest Corporation,0.01457705885476703,9147,7,17,0,5
Makedonski Telekom AD Skopje,0.014561458797096522,4787,3,1,1,2
Allot Communications Ltd,0.01422290244027441,4470,3,2,2,1
Tata Communications Limited,0.013650540591871305,12187,3,28,0,3
Reliance Communications Ltd,0.013518137534941643,10318,7,15,0,7
Pakistan Telecommunication Company Ltd.,0.013385902209942773,7015,6,11,0,5
Alaska Communications Systems Group Inc,0.012988423268426873,3094,5,5,0,4
Bezeq the Israeli Telecomunictn Corp Ltd,0.012669797645324526,5062,3,8,0,3
StarHub Ltd.,0.012652357811349466,4902,5,23,0,2
Telecomunicacoes Brasileiras SA TELEBRAS,0.012181430731109888,3213,5,1,0,8
Global Telecom Holding SAE,0.011931679851364792,4868,4,7,0,3
AcrossAsia Ltd,0.011112531834016306,1902,4,5,0,2
Median Group Inc,0.010899716529558354,13003,3,4,1,2
Dr Peng Telecom & Media Group Co Ltd,0.010257840160919613,3403,6,1,0,10
Econet Wireless Zimbabwe Ltd,0.009733347179946226,3852,4,3,0,6
TELUS Corporation (USA),0.009713925674318835,7483,2,13,0,1
Jordan Telecommunications Company PLC,0.009430984708587267,7090,4,8,0,3
NORDTELEKOM Tavkozlesi Szolgaltato Nyrt,0.009375908691181604,4739,3,3,0,4
Tsentral'nyi Telegraf PAO,0.00889821699923395,2275,3,0,0,6
Huge Group Ltd.,0.008648320675788603,3539,1,0,1,2
Inteliquent Inc,0.008646386267674602,4252,9,14,0,0
Megafon PAO,0.008626519687167733,7725,7,3,0,7
America Movil SAB de CV,0.008393070406056689,5071,1,12,0,2
SK Telecom Co Ltd (ADR),0.00834601348992725,68779,1,94,1,0
China Unicom (Hong Kong) Limited,0.00829294461207291,5929,4,4,0,4
Externet Telekommnkcs Intrnt Szlglt Nyrt,0.008146227257836333,1590,3,3,0,1
Masmovil Ibercom SA,0.00810918402789959,2920,3,1,0,4
Midas SA,0.008010109449254774,12069,2,4,2,0
Reti Telematiche Italiane SpA,0.007979297576042323,11220,3,13,0,4
PLDT Inc (ADR),0.007678404906153855,5643,2,7,0,1
HC2 Holdings Inc,0.007651809362747617,12671,8,27,0,2
Empresa Nacional de Telecomunicaciones,0.007546549972204061,4999,2,0,1,2
Mobile Telecommunications Co Su Arb SJSC,0.007543812715753913,7849,5,5,0,4
Jereissati Participacoes SA,0.007526575029030922,5157,5,3,0,6
Bashinformsvyaz' PAO (P),0.007461298921406164,4429,5,0,0,8
Mobil'nye Telesistemy PAO,0.007450333650044435,3892,6,0,0,10
Deutsche Telekom AG,0.006798476454720574,13283,5,11,0,4
DiGi.Com Bhd,0.0065173694538471745,9074,5,6,0,5
Omani Qatari Telecommunications Co SAOG,0.006494492916660935,4052,5,1,0,6
Tattelekom PAO,0.006445518388053149,2710,3,0,0,6
LICT Corporation,0.0064383194928658545,5942,5,13,0,0
SoftBank Group Corp,0.006432366815650592,11170,5,6,0,5
"Telephone & Data Systems, Inc.",0.006409549717381361,3961,4,7,0,2
Orange SA,0.006383954148515135,11386,5,13,0,1
Telenor ASA,0.006268648865485542,9957,3,7,0,3
Amalgamated Telecom Holding Limited,0.006164350593586539,4178,1,9,0,0
"Globe Telecom, Inc.",0.0061600958456391195,6008,3,3,0,3
New Ulm Telecom Inc,0.006156599295152913,2651,2,1,0,4
KDDI Corp,0.00597947229218791,4868,2,6,0,1
Al Khatem Telecommunications Co,0.005926230249862947,6572,3,3,0,3
Telecom Argentina SA,0.005915998935389245,7566,2,15,0,2
CMC Infocomm Ltd,0.005852122037594239,6972,1,2,1,0
National Mobile Telecommuncatins Co KSCP,0.005848717033450713,5209,3,4,0,3
Atom Participacoes SA em Recuperco Judcl,0.005840165630188658,60754,5,2,8,6
Swisscom AG,0.005826568627067417,8609,2,6,0,3
NTELOS Holdings Corp,0.005810215503463148,7796,3,9,0,1
Kuwait Telecommunications Company KSCP,0.005796599465352396,3651,3,1,0,4
Jereissati Telecom SA,0.005760357929218213,4497,4,7,0,2
Bharti Airtel Limited,0.005705919297951241,15566,8,10,0,7
Global Telecom Holding SAE - GDR,0.005686370550087396,4993,3,9,0,2
"Beijing Bewinner Communications Co., Ltd",0.0054420633866896495,2618,3,1,0,3
Maxcom Telecomunicaciones SA de CV,0.005413249000797455,6568,6,2,0,10
NNK Group Ltd,0.0052877087018148115,2095,2,0,0,4
Telecom Egypt Company,0.005209090855261059,5880,4,9,0,2
Samart Corporation PCL,0.005183357155426996,4273,1,0,1,0
Windstream Holdings Inc,0.005102353518027585,37516,5,40,0,3
Tata Teleservices (Maharashtra) Limited,0.005089987868751596,5102,3,1,0,5
Sri Lanka Telecom PLC,0.005066703816605787,4836,3,9,0,0
Sunrise Communications Group AG,0.005025303289276921,4157,5,2,0,6
Satcom Systems Ltd,0.004998223610220949,2451,1,3,0,2
Ground International Development Ltd,0.004986664266431808,5080,6,0,0,9
Indosat Tbk PT,0.004924999902531275,4663,4,1,0,5
QSC  AG,0.004792567634199523,4515,4,1,0,5
Telefonica Chile SA,0.004790855842035726,5008,3,5,0,2
Vivocom Intl Holdings Bhd,0.004720725461809359,3742,3,0,0,6
BH Telecom d.d. Sarajevo,0.004594703703787543,4325,3,0,0,8
Turk Telekomunikasyon A.S.,0.004417543445370789,9060,7,13,0,0
Orange Polska SA,0.004412719417299328,3381,4,2,0,3
Tiscali S.p.A.,0.004402129610560314,4453,5,0,0,9
Newsphone Hellas S.A.,0.003947311363978216,3865,4,2,0,3
Sejong Telecom Inc,0.0038172228096786474,2466,2,0,0,4
United States Cellular Corp,0.0037155783165794196,5671,4,1,0,5
FTE Networks Inc,0.0034602066440800067,3783,3,5,0,0
China United Network Communications Ltd,0.0034200799719432836,7455,4,2,0,6
TIM Participacoes SA,0.003400291421152118,4162,3,2,0,3
Bahrain Telecommunications Company BSC,0.003385721600301399,4936,3,5,0,0
Telefonaktiebolaget LM Ericsson,0.0032810293897838506,14438,10,14,0,2
Orange SA (ADR),0.003216695656524674,4635,2,5,0,0
Etihad Etisalat Company,0.003192283470404772,7730,4,6,0,2
KazTransCom AO,0.0031104262055633007,5051,4,1,0,3
Saudi Telecom Company,0.00309122800688432,6009,3,6,0,0
Oi SA,0.0030460011684183604,5871,3,2,0,5
Tellza Communications Inc,0.0030044904811714897,3490,2,0,0,4
Flexiroam Ltd,0.002928679220446397,8393,4,11,0,0
Airtel Networks Zambia PLC,0.002892198842704851,2836,2,0,0,3
TalkPool AG,0.002866164688166595,5450,3,2,0,4
Netia SA,0.0027875289639275806,1507,4,1,0,2
Dialog Axiata PLC.,0.0026989520604181333,9240,7,6,0,1
Telefonica S.A. (ADR),0.0026194393832981787,5298,2,4,0,0
Telehop Communications Inc,0.0025736613562350324,4224,3,4,0,0
Iliad SA,0.00252435730515616,3883,2,0,0,3
Liberty Telecoms Holdings Inc,0.00250200635352858,3752,3,0,0,4
NextGenTel Holding ASA,0.0024946964670476556,5014,2,0,0,4
Drillisch AG,0.0024538322082074903,3233,2,0,0,3
Baltic Bridge SA,0.002381168668460066,4304,2,0,0,3
Etihad Atheeb Telecommunication Co,0.0023471936021116197,9334,6,1,0,5
Deutsche Telekom AG (ADR),0.002336571259448849,5750,3,4,0,0
Hutchison Telecommunications HK Hld Ltd,0.00230214748597463,5070,3,0,0,5
PrimeTel Plc,0.002282351989918969,4526,2,5,0,0
Orange Belgium SA,0.00219832809415129,4195,2,3,0,0
Telefonica Deutschland Holding AG,0.0021664800026983595,4272,2,0,0,4
Unima 2000 Systemy Teleinformatyczne SA,0.0020924994831723644,6519,3,0,0,5
Grameenphone Ltd,0.0020494302880686927,11826,3,3,0,2
"Fusion Telecommunications Int'l, Inc.",0.0018765854564069824,8046,3,1,0,3
Nortel Inversora SA (ADR),0.0017895350920105063,7887,2,5,0,0
Xinghe Holdings Bhd,0.0017437413448031435,7063,2,0,0,4
Press Corporation Ltd.,0.001716133640291487,5372,2,0,0,3
China Telecom Corporation Limited,0.001710376632994828,4968,1,0,0,3
Almendral SA,0.0016967060084754036,2691,2,1,0,1
Mobil'nye Telesistemy PAO (ADR),0.001689979198358079,6688,2,0,0,4
Saigon Telecommunication & Tech Corp,0.0016354128610666923,6337,2,3,0,0
MEDIATEL SA,0.0015603425764636088,2485,2,1,0,2
Intracom Holdings S.A.,0.0015396985129740022,6921,3,0,0,4
OKINAWA CELLULAR TELEPHONE COMPANY,0.0013847014368032872,2362,2,1,0,2
Ooredoo QSC,0.001356992977500882,5747,2,0,0,3
China Mobile Ltd. (ADR),0.0013472568828004187,8067,1,3,0,0
Vodafone Qatar QSC,0.0011644508722715163,3350,2,1,0,2
Enice Holding Co Ltd,0.0011316807547032187,3651,2,1,0,2
MAXIS BERHAD,0.0011166739771944559,7909,1,3,0,0
Sonaecom SGPS SA,0.0010810543825995967,5485,2,0,0,4
Telekom Srpske a.d. Banja Luka,0.0010550274599345113,4425,3,1,0,2
AllTele Allmanna Svenska Telefktgt(publ),0.0009402103858693401,5190,2,1,0,2
Safaricom Limited,0.0009324896009377697,5107,2,1,0,2
"Chunghwa Telecom Co., Ltd (ADR)",0.0008662359050060254,5503,2,2,0,1
Axiata Group Bhd,0.0008045639163034914,4736,1,1,0,2
Societe National ds Telcmnctns d Sngl SA,0.000671550239017289,7868,3,1,0,2
Nacional Telefonos de Venezuela CA,0.000631663344580927,5187,2,2,0,1
Far Eastern New Century Corp,0.0006121381736940749,6600,2,1,0,2
Grupo Ezentis SA,0.00045287896476926414,3459,1,1,0,0
Hits Telecom Holding Co. K.S.C.C.,0.0004311192634774449,2957,1,0,0,1
Telekom Austria AG (ADR),0.00037823097206574237,4067,1,1,0,0
Wataniya Palestine Telecom,0.00036767809940306805,3128,1,0,0,1
Crystal Telecom,0.000358589806437522,4130,1,0,0,1
China Telecom Corporation Limited (ADR),0.00034784251906794787,5061,1,1,0,0
Ainmt AS,0.00034180059204526303,4942,1,1,0,0
AFK Sistema PAO (EDR),0.00033250182530819203,4582,1,0,0,1
Crnogorski Telekom ad Podgorica,0.00031624785274238313,4112,1,0,0,1
"Competitive Companies, Inc.",0.0003105448567080343,4724,1,0,0,1
Nuran Wireless Inc,0.0003063409770030084,3901,1,1,0,0
Financial Assets Management Group SA,0.0002992024530377293,5209,1,0,0,1
Budget Telecom,0.00022173144919447436,7473,1,0,0,1
Telekom Austria AG,0.00017872820519494284,6338,1,1,0,0
