name,score,document_length,url_count,consult,customer service,marketing service
"MOSHI MOSHI HOTLINE, INC.",0.38372236722159847,6337,11,15,5,16
Alliance Data Systems Corporation,0.37839120017463074,5711,5,8,2,26
Scicom MSC Bhd,0.3453614947153478,5052,7,5,26,0
"PFSweb, Inc.",0.27769175075795977,9030,8,16,19,3
Chime Communications plc,0.2731858216811152,2575,5,11,0,11
Orbis AG,0.21928159141732106,3388,8,47,13,0
SPAR Group Inc,0.20491028668803635,4706,8,0,2,26
Sitel Worldwide Corp,0.18457473463923282,5099,7,13,5,4
One to One Contacts PCL,0.17156214369290806,2761,6,4,8,0
Omnicom Group Inc.,0.15107795406384636,12076,7,10,4,9
Spearhead Integrated Marketing Commtn Gp,0.14705733765866286,3710,4,5,0,8
Interpublic Group of Companies Inc,0.14404257865542913,6744,6,6,0,14
Asia Pacific Digital Ltd,0.14192725061949654,3651,4,6,1,4
Genpact Limited,0.13383729127144628,5944,7,17,12,0
Transcosmos Inc,0.11654475621925377,4271,7,4,2,6
DLE Inc,0.09811326382287983,4377,3,0,7,1
"AUN CONSULTING, Inc.",0.09582343512943661,3382,7,83,0,4
CCR Logistics Systems AG,0.08712478863714224,3243,5,7,0,4
Vector Inc,0.08490951667438291,2817,5,7,4,0
Advance Information Marketing Berhad,0.08410876220839264,3694,5,7,0,4
Adcorp Australia Ltd,0.08128187587557598,4063,3,4,0,4
"PDI, Inc.",0.0767328798046566,19304,9,6,16,2
Full Speed Inc.,0.07437473664741748,3405,4,8,0,3
"The Hackett Group, Inc.",0.07339044662032931,6450,9,78,4,1
Mattersight Corp,0.0729278537471544,5419,7,15,5,0
American Business Services Inc,0.07286095686858297,2976,4,3,4,0
NAHL Group PLC,0.07174897422197396,3493,5,0,0,6
"ValueCommerce Co., Ltd.",0.07138993635568779,4427,6,9,2,4
MDC Partners Inc,0.06964278320601276,10362,15,11,0,9
OUTSOURCING Inc.,0.06942245678431715,9475,5,16,7,0
UBM Plc,0.06738037436336984,4805,2,0,0,8
MaKheiA Group SA,0.06629942643170053,3645,4,4,0,3
Branding China Group Ltd,0.061210631547256644,7597,4,6,0,5
Jsti Group,0.05670623181203984,8064,6,22,6,0
FullSix SpA,0.05636591254123845,3167,4,2,0,4
