name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
"ThinTech Materials Technology Co., Ltd.",0.6456629773142357,4453,10,2,2,11,45,23,39,9
SCI Engineered Materials Inc,0.4810329384835327,3399,9,0,2,2,16,19,36,24
Advanced Nano Products Co Ltd,0.4519229947212463,3121,9,0,12,28,4,15,31,4
Solar Applied Materials Technology Corp,0.2895029002227237,2298,7,0,3,2,33,6,12,10
Buwon Precision Sciences Co Ltd,0.1703912256816442,3417,7,0,1,24,0,9,6,0
Ushine Photonics Corp.,0.1388923404162054,2636,7,0,0,28,0,6,1,4
MK Electron Co Ltd,0.056573223234248564,2796,5,0,0,10,0,3,4,0
Thin Film Electronics ASA,0.05471766610382432,6026,6,0,0,3,1,0,0,35
"Apollo Solar Energy, Inc.",0.03241426132844982,3532,10,0,1,11,23,0,1,7
"Wuhu Token Science Co.,LTD.",0.025253871089695096,2101,7,0,3,25,8,0,2,4
EFUN Technology Co Ltd,0.024781760834788464,3572,6,0,4,28,1,1,2,1
Inrad Optics Inc,0.021547417288852906,3037,7,0,2,4,18,0,1,5
"GEOMATEC CO., LTD.",0.018341145124691937,4278,10,0,0,129,8,1,0,5
Taeyang Electronics Co Ltd,0.018048639233484175,3218,8,0,2,11,4,1,5,0
"Jochu Technology Co., Ltd.",0.017770313658471565,3580,9,0,1,9,20,0,3,3
Onano Industrial Corp,0.01582240607493107,3576,7,0,0,7,0,0,0,7
Inzi Display Co Ltd,0.01553006316162344,2875,7,0,4,12,0,0,2,4
"Fine DNC Co., Ltd.",0.015490226516744249,4110,6,0,5,11,8,0,1,3
"Star World Technology Co., Ltd.",0.01458817496000078,2895,6,0,3,4,0,0,2,4
Aqua Metals Inc,0.014494608058133695,9811,12,0,20,10,271,0,9,0
Zhejiang Crystal Optech Co Ltd,0.013907242306653144,3424,8,0,1,8,1,0,0,4
Raydium Semiconductor Corporation,0.013241730880356697,4720,8,0,0,14,1,0,2,6
Unitel High Technology Corporation,0.012911280324899762,4049,8,0,1,5,4,0,3,3
"e-Litecom Co., Ltd.",0.011313861245500668,2510,6,0,0,10,0,0,1,3
"Western Metal Materials Co., Ltd.",0.010608938200335394,4338,9,0,5,4,132,0,1,0
E Ink Holdings Inc,0.01032705062100327,3848,5,0,5,5,0,0,2,5
"Sejin T.S Co., Ltd.",0.010022216192710936,2829,6,0,0,11,0,0,1,3
Jeng Shiang Precision Ind Co Ltd,0.009951248337400017,8731,7,0,0,10,3,1,0,4
Formation Metals Inc,0.009761309367484802,11514,13,0,47,14,137,0,7,0
CoAsia Microelectronics Corp.,0.009649013760898958,5670,8,0,3,10,2,0,1,3
"Pacific Metals Co., Ltd.",0.009556761855499547,3079,12,0,1,11,92,0,1,0
"FINE TECHNIX CO.,LTD",0.009366903990702505,1342,3,0,1,16,5,0,0,1
YOUNYI Information Communication,0.009281620375547571,2865,7,0,0,12,0,0,1,3
Alumetal SA,0.008907020006520595,2514,10,0,4,0,83,0,4,0
"Shenzhen Laibao Hi-Tech Co., Ltd.",0.008760406224679818,2690,8,0,0,15,0,0,1,3
"Giantplus Technology Co., Ltd.",0.00826590962444723,3766,8,0,0,15,0,0,2,4
Hansol Technics Co Ltd,0.00826515647445763,3035,6,0,0,9,0,0,2,4
Anglo American Platinum Ltd,0.008116138921161826,9418,12,0,86,1,95,0,1,0
Hancom GMD Inc,0.007775687209846209,5020,7,0,9,10,7,0,1,2
Hi-Light Tek Co Ltd,0.0076867997277732135,2068,5,0,1,7,0,0,3,2
Tah Kong Chemical Industrial Corp,0.007578005812469907,2367,4,0,0,5,0,0,0,3
Molibdenos y Metales S.A.,0.007525781522582117,5774,9,0,3,16,94,0,1,0
Rising Nonferrous Metals Share Co Ltd,0.007398751811833437,4033,9,0,5,5,95,0,0,0
"Zhejiang Nanyang Technology Co.,Ltd.",0.007191883178541319,1940,6,0,0,24,5,0,0,2
Green Energy Technology Inc.,0.0071382560545515,3564,3,0,2,2,0,0,1,6
BOE Technology Group Co. Ltd,0.007107798229296765,4382,6,0,2,8,1,0,1,4
Nordic Mining ASA,0.007099321117401399,3685,8,0,26,1,16,0,8,0
AMG Advanced Metallurgical Group N.V.,0.006920765176763219,3989,12,0,1,0,110,0,4,0
HORSEHEAD HOLDING CORP.,0.006714549073308668,4607,12,0,30,9,22,0,7,0
Mosel Vitelic Inc.,0.006616236877336635,4129,8,0,3,12,1,0,3,2
S&S Tech Corp,0.006562641238082702,3255,7,0,1,18,5,0,0,2
"Titan Kogyo, Ltd.",0.0064736946299086785,3224,7,0,52,3,0,0,1,0
Microtips Technology Inc.,0.0064481087960280015,11303,5,0,5,30,2,0,0,7
Super Dragon Technology Co. Ltd.,0.006216094009222224,3352,8,0,12,4,20,0,4,0
Scandium International Mining Corp,0.006154110458140605,11815,11,0,12,6,166,0,4,0
ISE CHEMICALS CORPORATION,0.006134314835753017,2174,10,0,11,3,32,0,1,0
Mineral Deposits Limited,0.006009503507201577,6777,13,0,35,7,20,0,16,0
Sino Rare Precious Metals Ltd,0.005854251119329947,3073,6,0,3,1,60,0,1,0
Adex Mining Inc,0.005841319826565438,3675,10,0,7,6,41,0,1,0
Green World Hotels Co Ltd,0.005809048001498058,4213,8,0,0,17,0,1,2,0
Avatec Co Ltd,0.005659400151673195,2360,6,0,1,10,1,0,2,2
Royal Bafokeng Platinum Ltd,0.005567361164698095,5639,11,0,24,6,31,0,2,0
Ucore Rare Metals Inc.,0.005529780038468922,5763,12,0,4,5,89,0,1,0
"Jinduicheng Molybdenum Co., Ltd.",0.005428101961148733,2648,8,0,8,0,43,0,3,0
Global Cobalt Corp,0.005396989060516828,6670,8,0,20,5,53,0,2,0
"Advanced Technology & Materials Co., Ltd",0.005344695675054272,3201,8,0,20,4,28,0,2,0
Nippon Light Metal Holdings Co Ltd,0.005333632103285342,3582,8,0,2,18,71,0,1,0
"IRICO Group Electronics Co., Ltd.",0.005291122963503199,3154,4,0,0,2,0,0,1,3
Tronox Ltd,0.005226169880332502,4474,7,0,24,5,6,0,7,0
AU Optronics Corp (ADR),0.005161476322496166,11045,13,0,2,17,0,0,14,4
Innolux Corp,0.00503747281831857,4308,9,0,11,22,0,0,3,1
"FORCE MOS TECHNOLOGY CO., LTD.",0.004936489273060117,2997,7,0,0,7,4,0,2,2
Eagle Plains Resources Ltd.,0.0047874260026154235,19089,7,0,57,23,206,0,82,0
Twinwill Optronics Inc,0.004766446549404878,5242,8,0,4,17,3,0,4,2
Toho Zinc Co Ltd,0.004732213365041289,5667,12,0,30,17,30,0,0,0
Korea Zinc Co Ltd,0.00472548155938054,2846,7,0,3,5,42,0,2,0
Mustang Industrial Corp,0.004586010436181857,6022,7,0,1,7,19,0,2,2
Manganese Mineral JSC,0.004403823023285458,9069,9,0,46,5,96,0,0,0
Info-Tek Corporation,0.004262465824497624,3119,7,0,3,6,0,0,1,1
Tongda Group Holdings Ltd.,0.004250820333195569,3538,7,0,17,2,12,0,3,0
Golden Eagle Mining Ltd,0.0042268235286305475,4907,7,0,6,6,24,0,13,0
IXYS Corporation,0.0042036821637203405,4884,7,0,5,14,6,0,0,1
Hicel Co Ltd,0.004118787703668429,3000,6,0,6,9,0,0,0,1
Ningxia Orient Tantalum Industry Co Ltd,0.004105757069102256,2588,8,0,1,6,27,0,3,0
Success Transformer Corporation Bhd,0.004046011836505486,3958,5,0,1,3,25,0,10,0
Pacific North West Capital Corp.,0.004027074813076722,47663,14,0,29,30,210,0,72,0
Rebab Company SA Limited,0.004009128876725237,8044,8,0,8,49,62,0,3,0
Eurasia Mining plc,0.003972244097220997,6937,8,0,3,8,36,0,18,0
Gujarat Mineral Development Corporation,0.0039032246368522735,6066,7,0,8,12,6,0,24,0
United States Antimony Corporation,0.003889921666489245,10557,13,0,8,14,67,0,6,0
Swelect Energy Systems Ltd,0.003823578970299002,3919,9,0,19,3,0,0,2,1
Shenghe Resources Holding Co Ltd,0.0038221345535871397,3251,6,0,3,5,20,0,3,0
Duksan Hi Metal Co Ltd,0.0037974560774955376,3040,8,0,0,5,50,0,0,0
Mineral and Mechanical JSC,0.0037574478192651693,5370,7,0,2,7,109,0,0,0
TANAKA CHEMICAL CORPORATION,0.0037294924595266837,2571,5,0,10,7,6,0,1,0
W Resources PLC,0.003590919982596503,8722,8,0,8,6,30,0,18,0
"OmniVision Technologies, Inc.",0.003589806501054984,3641,6,0,1,2,3,0,3,1
Malaysia Smelting Corporation Berhad,0.003586141408660339,4937,11,0,3,0,57,0,3,0
Galileo Resources PLC,0.003513380404668466,10839,9,0,17,9,24,0,19,0
LG Display Co Ltd. (ADR),0.0034735248998177246,4774,5,0,0,16,0,0,5,2
Noranda Income Fund,0.0033749876353911397,4288,9,0,10,0,43,0,1,0
"Yunnan Tin Co., Ltd.",0.00336813218579742,3409,7,0,0,7,38,0,3,0
Varitronix International Limited,0.0033600602615057483,3371,4,0,4,5,0,0,0,1
Thompson Creek Metals Company Inc,0.003304029468235537,11031,12,0,30,2,114,0,1,0
Niocan Inc.,0.00329121446489016,4276,6,0,3,6,19,0,5,0
Niko Semiconductor Co Ltd,0.0032536241297861633,3594,5,0,0,6,2,0,1,2
Stillwater Mining Company,0.0032452990385757464,8407,6,0,7,2,76,0,5,0
Nanophase Technologies Corporation,0.0032402131511951654,3711,9,0,24,0,7,0,5,0
Chelyabinskiy tsinkovyi zavod OAO,0.003181062493929037,4275,8,0,0,3,64,0,0,0
"Huludao Zinc Industry Co., Ltd.",0.003161098560297499,2503,8,0,3,1,29,0,2,0
Ding He Mining Holdings Ltd,0.003137394572863762,3036,6,0,10,6,8,0,0,0
Tawana Resources N.L.,0.0030991337913258304,5968,8,0,25,2,17,0,6,0
Wesizwe Platinum Ltd.,0.0030916174190355927,7028,10,0,9,9,23,0,4,0
Molycorp Inc,0.0030650841472194433,5678,8,0,4,17,31,0,2,0
Tovis Co Ltd,0.003056897765131848,2106,7,0,0,46,0,0,0,1
Shuz Tung Machinery Industrial Co Ltd,0.0030174385162310565,2091,4,0,0,0,4,0,1,1
BOTHHAND ENTERPRISE INC.,0.002980682625367959,4634,5,0,3,7,0,0,0,2
Rec Silicon ASA,0.002964172332075924,1841,4,0,4,0,1,0,0,1
5N Plus Inc.,0.0029594155302810105,3384,10,0,3,2,46,0,2,0
Turvo International Company Limited,0.0029041211945090967,3160,8,0,1,22,12,0,5,0
"Tibet Summit Industry Co., Ltd",0.002879890347553594,2119,7,0,3,0,25,0,0,0
Northern Shield Resources Inc.,0.002879832139951512,3419,11,0,2,5,22,0,4,0
Microview Technology Corporation,0.0028296732720740005,5447,6,0,1,16,0,0,5,1
Mkango Resources Ltd,0.0028120570608577825,7908,8,0,11,15,28,0,4,0
Solikamskiy magniyevyi zavod OAO,0.0028058947871408605,4769,9,0,2,2,40,0,9,0
"AMPIRE CO., LTD",0.002775362780886973,3064,5,0,1,23,0,0,0,1
Oman Chromite Company,0.002770260351386905,4726,9,0,7,2,34,0,3,0
Xantia Corp,0.0027587917187340636,8896,6,0,0,5,0,0,3,3
Global Mixed-Mode Technology Inc.,0.002750710133520206,2499,5,0,0,6,0,0,0,2
Search Minerals Inc,0.0027104668382425855,8214,13,0,19,6,43,0,2,0
