name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
Cantho Tourist JSC,0.0024594825327884373,5886,2,0,0,0,3,1,1
"The Chefs Warehouse, Inc",0.0019568407297211247,5815,9,0,0,2,0,0,9
Ningxia Western Venture Industrial CoLtd,0.0019176523836307105,4013,5,5,0,0,0,0,7
Dongsuh,0.0019154339308296252,8491,4,1,0,1,0,0,4
Harrisons Holdings Malaysia Bhd,0.0017838743360991903,4820,3,0,2,0,2,0,8
China Foods Limited,0.0017358180822939153,3698,5,0,0,0,0,0,24
Brand New Vintage Limited,0.0016579502706952735,3709,3,0,0,0,0,0,25
Mineralbrunnen Ueberkingen-Teinach AG,0.0015712834274280042,3089,4,3,0,0,2,0,0
Jamnica dd,0.0014662844375605579,2850,1,3,0,0,0,1,1
"ROYAL HOLDINGS CO., LTD.",0.0014588571638057023,4068,6,0,6,0,0,0,0
Eurocash SA,0.0013619598341915375,3546,3,4,2,0,0,0,0
JALUX Inc.,0.0013300592278557084,3060,8,2,0,0,0,0,12
McDonald's Corporation,0.0011722285836734917,62064,10,4,23,0,0,0,1
DAISYO CORPORATION,0.001169441008303471,1812,3,0,0,0,2,1,0
Sonic Corporation,0.0011119135445563128,47003,5,1,16,0,0,3,2
Renuka Holdings Ltd,0.0010965478218138733,5599,2,0,0,0,3,0,0
National Mineral Water Company SAOG,0.0010671180264150296,18814,3,12,0,0,0,0,5
Tri Banyan Tirta Tbk PT,0.0010391480441129483,2657,3,5,0,0,0,0,0
j-Group Holdings Corp,0.0010165074535064468,9906,3,0,2,0,1,1,1
Itochu-Shokuhin Co Ltd,0.0010014369865606664,2805,6,6,0,0,0,0,0
WASGAU Produktions & Handels AG,0.0009852086854762957,4563,4,0,0,0,1,0,3
Herfy Food Services Co,0.0009789858195327025,5202,1,3,0,0,1,0,0
Boston Pizza Royalties Income Fund,0.0009640769355869709,7123,2,0,3,0,0,0,5
"Diamond Dining Co., Ltd.",0.0009494664954666047,5657,4,0,0,0,2,0,4
"YUASA FUNASHOKU CO., LTD.",0.0009084876442850525,2918,4,5,0,0,0,0,0
Good Times Restaurants Inc.,0.0008734280586961289,6008,5,0,5,0,0,0,0
"TOKYO THEATRES COMPANY, INCORPORATED",0.0008603949771927291,6146,1,0,0,0,0,8,0
Telepizza Group SA,0.0008320759247359031,5602,2,1,1,0,0,1,0
Del Frisco's Restaurant Group Inc,0.0008072535201568065,5565,7,1,0,0,0,0,10
Lanson BCC SA,0.0007999311597406269,2814,3,0,0,0,0,0,8
"UMENOHANA CO., LTD.",0.0007565528464806622,1616,1,0,0,0,0,1,1
Spar Group Limited,0.0007506606720061038,6939,3,1,1,0,0,1,1
Metcash Limited,0.0006997424048270717,3850,2,1,0,0,1,0,0
"TEN ALLIED CO., LTD.",0.0006468053479788051,4351,5,5,0,0,0,0,0
"Darden Restaurants, Inc.",0.0005840355143412524,9957,4,1,3,0,0,0,2
Dingyi Group Investment Ltd,0.0005723462208687531,3418,6,0,0,0,0,0,8
