,name,score,document_length,url_count,broadband,catv,component,converter,data center,ftth,optoelectronic,sensing,telecom,transceiver,transmitter
135,LGL Group Inc,0.01600131022276245,3832,4,1,0,10,0,0,0,0,0,2,0,0
136,Seiko Holdings Corp,0.015759725424920813,6585,8,0,0,13,2,1,0,0,0,0,0,0
137,"Samsung Electro-Mechanics Co., Ltd.",0.014971072594056826,6972,8,1,0,34,4,0,0,1,0,2,0,2
138,BOTHHAND ENTERPRISE INC.,0.01459702610150321,4518,17,2,0,18,91,0,0,0,0,2,0,0
139,Norsat International Inc (USA),0.014138860900983055,5005,11,2,0,29,14,0,0,0,0,3,0,0
140,"LG Innotek Co., Ltd.",0.013373247031703478,4252,6,0,0,20,5,0,0,1,0,0,0,0
141,Inventec Besta Co Ltd,0.012708393013982513,3971,3,0,0,3,1,0,0,0,0,5,0,0
142,Valiant Communications Ltd.,0.012577695745831195,5738,10,0,0,0,54,0,0,0,0,21,0,0
143,Sun.King Power Electronics Group Ltd,0.012412216677880086,4764,8,0,0,24,11,0,0,0,0,1,0,0
144,EFUN Technology Co Ltd,0.011196773162460183,3659,4,0,0,6,1,0,0,0,0,3,0,0
145,Advantest Corp (ADR),0.010790485173045958,7693,11,0,0,23,2,0,0,0,1,0,0,0
146,BenQ Materials Corp,0.010778788179858338,4220,3,0,0,3,0,0,0,1,0,0,0,0
147,Advanced Ceramic X Corporation,0.010745011455556432,3148,3,0,0,4,1,0,0,0,0,2,0,0
148,"TDG Holding  Co., Ltd.",0.010600513774036759,2979,6,0,0,18,0,0,0,1,0,0,0,0
149,Prolink Microsystems Corp,0.010353949615287367,5294,3,0,0,3,2,0,0,0,0,0,0,0
150,Chaozhou Three-circle Group Co Ltd,0.009193509569810071,2882,9,0,0,32,0,0,0,2,0,3,0,0
151,"Holy Stone Enterprise Co., Ltd.",0.008902307900074093,6065,11,0,0,79,4,0,0,0,0,6,0,5
152,Avatec Co Ltd,0.007764678313698077,2355,5,0,0,10,1,0,0,0,0,0,0,0
153,"IWATSU ELECTRIC CO., LTD.",0.007632714128711286,4348,6,0,0,6,0,0,0,0,0,5,0,0
154,"AOI ELECTRONICS CO.,LTD.",0.007420555156206246,2515,5,0,0,5,1,0,0,0,0,0,0,0
155,"PRESCOPE TECHNOLOGIES CO.,LTD",0.006761358770868476,3530,4,0,0,7,1,0,0,0,0,0,0,0
156,Aishwarya Technologies and Telecom Ltd,0.006511573679684283,4405,9,0,0,3,2,0,0,0,0,99,1,0
157,Zhejiang East Crystal Electronic Co Ltd,0.006340629843922405,2384,7,0,0,8,0,0,0,0,0,3,0,0
158,DAISHINKU CORP.,0.0061872496605108775,2150,8,0,0,19,0,0,0,0,0,4,0,0
159,"Shenzhen Sed Industry Co., Ltd",0.005667304699634128,3012,5,0,0,7,0,0,0,0,0,3,0,0
160,Loop Telecommunication Int'l Inc.,0.00495957116515712,4220,10,0,0,1,2,0,0,0,0,92,0,0
161,"Weltrend Semiconductor, Inc.",0.004661561874059171,4268,6,0,0,6,1,0,0,0,0,0,0,0
162,Ichia Technologies Inc.,0.0046201898593970425,3103,6,0,0,16,0,0,0,0,0,2,0,0
163,UQM Technologies Inc,0.004558114074237677,3604,4,0,0,7,1,0,0,0,0,0,0,0
164,"Cirrus Logic, Inc.",0.004528432646188045,12486,14,0,0,25,155,0,0,5,0,1,1,0
165,Micro Base Technology Corp,0.0045068482405476425,4379,3,0,0,4,0,0,0,0,0,3,0,0
166,Richtek Technology Corp.,0.004463154124479157,7097,9,0,0,12,139,0,0,1,0,1,0,0
167,International Standard Resrcs Hldgs Ltd,0.0037042715718980474,3331,8,0,0,20,0,0,0,0,0,3,0,0
168,Magic Micro Co Ltd,0.0035208688303314155,4464,12,0,0,11,0,0,0,0,0,2,0,0
169,"InnoChips Technology Co., Ltd.",0.003036744702869208,2608,5,0,0,9,0,0,0,0,0,1,0,0
170,Sunway International Holdings Limited,0.0026639491969203464,2910,3,0,0,5,0,0,0,0,0,1,0,0
171,Vicor Corp,0.002029002895972877,38548,14,0,0,63,430,34,0,5,0,17,2,1
172,"Electro Scientific Industries, Inc.",0.0019362545855282599,5220,6,0,0,39,0,0,0,1,0,0,0,0
173,"Excel Cell Electronic Co., Ltd.",0.0019197946954739753,4582,10,0,0,35,0,0,0,1,0,0,0,0
174,JHM Consolidation Berhad,0.0011829804565151798,3199,5,0,0,18,0,0,0,0,0,0,0,0
175,D & O Green Technologies Bhd,0.0010502134092212657,3916,6,0,0,16,0,0,0,0,0,0,0,0
176,"SATORI ELECTRIC CO., LTD.",0.0009621873251174984,3212,6,0,0,15,0,0,0,0,0,0,0,0
177,Kuroda Electric Co Ltd,0.0007032768543883477,2588,4,0,0,8,0,0,0,0,0,0,0,0
178,Raygen Co Ltd,0.0006359003031494975,2686,4,0,0,6,0,0,0,0,0,0,0,0
179,Leaguer Stock Co Ltd,0.0006329467461914849,3976,5,0,0,10,0,0,0,0,0,0,0,0
180,Di-Nikko Engineering Co Ltd,0.0006111751847185502,3607,4,0,0,8,0,0,0,0,0,0,0,0
181,R. H. Technologies Ltd.,0.0005807797679581568,2207,4,0,0,5,0,0,0,0,0,0,0,0
182,"Shinko Shoji Co., Ltd.",0.0005765726463042871,4326,5,0,0,20,0,0,0,0,0,0,0,0
183,Topview Optronics Corp,0.00049081094808495,2403,4,0,0,5,0,0,0,0,0,0,0,0
184,Shuz Tung Machinery Industrial Co Ltd,0.000490202065186462,2092,2,0,0,5,0,0,0,0,0,0,0,0
185,Green Cross Cell Corp,0.0004828046985833823,1703,3,0,0,4,0,0,0,0,0,0,0,0
186,Biolog Device Co Ltd,0.0004472055543430797,2889,5,0,0,5,0,0,0,0,0,0,0,0
187,Samjin LND Co Ltd,0.00041024516726437206,3384,2,0,0,5,0,0,0,0,0,0,0,0
188,Okins Electronics Co Ltd,0.0003667885528022496,1858,3,0,0,3,0,0,0,0,0,0,0,0
189,Ningbo WanHao Holdings Co Ltd,0.00018965047427752839,3347,1,0,0,3,0,0,0,0,0,0,0,0
190,Young Bag Micro Motor Co Ltd,0.00013355940539337767,6608,5,0,0,5,0,0,0,0,0,0,0,0
191,Beijing Honggao Cretv Constn Dsgn Co Ltd,0.00010002569555917447,4753,2,0,0,2,0,0,0,0,0,0,0,0
192,Dexerials Corp,6.938163803715992e-05,3662,2,0,0,2,0,0,0,0,0,0,0,0
193,Wafer Works Corp.,5.2782979777643624e-05,3327,1,0,0,1,0,0,0,0,0,0,0,0
