,name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
69,Swelect Energy Systems Ltd,0.01039806239131227,3919,9,0,19,3,0,0,2,1
70,Micro Base Technology Corp,0.010322984774292793,2502,4,0,3,3,4,0,1,0
71,Tongda Group Holdings Ltd.,0.010262004553684268,3538,7,0,17,2,12,0,3,0
72,Intermolecular Inc,0.010245521983090056,8334,3,0,5,2,0,0,4,1
73,"Hanchang Industry Co., Ltd.",0.010233451961798931,2253,5,0,3,5,6,0,1,0
74,AA Group Holdings Ltd,0.01014460610731715,2536,6,0,5,3,1,0,1,0
75,"Tianjin Benefo Tejing Electric Co.,Ltd.",0.010054571554343063,3184,6,0,4,4,5,0,2,0
76,ELE-CON Technology Co Ltd,0.009844066718622044,2706,6,0,4,6,4,0,2,0
77,AU Optronics Corp,0.009546868772315786,4432,5,0,2,12,0,0,1,1
78,Tronox Ltd,0.009291322336686711,4474,7,0,24,5,6,0,7,0
79,UPEC Electronics Corp,0.009067076305814143,2430,5,0,6,5,1,0,0,0
80,Aptos Technology Inc.,0.008799632161711538,2793,8,0,5,7,0,0,2,0
81,"SHUN ON ELECTRONIC CO., LTD.",0.008723408891088684,2823,6,0,3,4,3,0,0,0
82,Nordic Mining ASA,0.008688839903576481,3685,8,0,26,1,16,0,8,0
83,Sat Nusapersada Tbk PT,0.008533988803827563,2692,7,0,2,3,11,0,1,0
84,HORSEHEAD HOLDING CORP.,0.008322151109126279,4607,12,0,30,9,22,0,7,0
85,PLA Co Ltd,0.008150640500384013,2383,5,0,5,0,1,0,0,0
86,"Do-Fluoride Chemicals Co.,Ltd.",0.007966096675413935,2073,5,0,2,7,5,0,2,0
87,Novx21 Inc,0.00785865024753375,2002,4,0,2,0,26,0,0,0
88,"Shin Zu Shing Co., Ltd.",0.00778536852537588,2164,6,0,0,4,9,0,0,0
89,Shenghe Resources Holding Co Ltd,0.007624426137827377,3251,6,0,3,5,20,0,3,0
90,Innolux Corp,0.007581706472919507,4308,9,0,11,22,0,0,3,1
91,Namibia Rare Earths Inc,0.0075791899525458235,1693,4,0,0,2,7,0,0,0
92,BHK Mining Corp,0.007517922465112496,2532,6,0,0,7,13,0,7,0
93,"Advanced Technology & Materials Co., Ltd",0.0074105727878435055,3201,8,0,20,4,28,0,2,0
94,Cando Corp,0.007369965932487565,4939,4,0,2,4,2,0,6,0
95,Axe Exploration Inc,0.007152301751545284,2952,4,0,1,3,10,0,0,0
96,Tajiri Resources Corp,0.0070468270971207276,4760,8,0,3,9,10,0,6,0
97,"Shaanxi Xinghua Chemistry Co., Ltd.",0.006988540772411763,4344,8,0,8,1,1,0,2,0
98,Niocan Inc.,0.006959800112147547,4276,6,0,3,6,19,0,5,0
99,Golden Eagle Mining Ltd,0.006941458009224689,4907,7,0,6,6,24,0,13,0
100,"Tibet Summit Industry Co., Ltd",0.006924317346944832,2119,7,0,3,0,25,0,0,0
101,Royal Bafokeng Platinum Ltd,0.006906360299155409,5639,11,0,24,6,31,0,2,0
102,Elementis plc,0.006905693572221248,3636,8,0,2,4,7,0,2,0
103,Iluka Resources Limited,0.006856073865073186,3768,10,0,15,1,10,0,2,0
104,Microview Technology Corporation,0.006847225685206914,5447,6,0,1,16,0,0,5,1
105,Guangdong Dowstone Technology Co Ltd,0.0067978025686949595,2494,8,0,1,5,11,0,2,0
106,Geomega Resources Inc,0.006785906658749841,3123,5,0,1,5,10,0,2,0
107,Mineral Deposits Limited,0.00678548187046792,6777,13,0,35,7,20,0,16,0
108,Shenzhen Everwin Precision Technology Co,0.006757078912029342,2144,5,0,1,0,13,0,2,0
109,Northern Shield Resources Inc.,0.006716052518359115,3419,11,0,2,5,22,0,4,0
110,Silitech Technology Corporation,0.006591687520801304,2805,5,0,1,2,2,0,3,0
111,Gujarat Mineral Development Corporation,0.006532464132373821,6066,7,0,8,12,6,0,24,0
112,Beijing Kingee Culture Development,0.006461598333065461,3125,8,0,0,3,9,0,2,0
113,LeadFX Inc,0.006401670663055656,4305,8,0,7,2,15,0,2,0
114,Phihong Technology Co Ltd,0.00639240808105971,5445,7,0,3,14,0,0,1,1
115,BE Semiconductor Industries NV,0.006391911547441715,2897,5,0,1,0,5,0,1,0
116,ISE CHEMICALS CORPORATION,0.006368271324523953,2174,10,0,11,3,32,0,1,0
117,International Rectifier Corporation,0.006344815058432726,8459,10,0,13,5,7,0,4,0
118,"Yunnan Chihong Zinc&Germanium Co., Ltd.",0.006311426564510025,2485,6,0,3,2,25,0,0,0
119,Advanced Microelectronic Products Inc.,0.0062919547854396,2254,5,0,0,5,4,0,2,0
120,Nanophase Technologies Corporation,0.006265719833726521,3711,9,0,24,0,7,0,5,0
121,Pangang Group Vndm Tm & Res Co Ltd,0.006155891865540608,3330,5,0,8,8,0,0,2,0
122,Ducgiang Chemicals & Detergent Powdr JSC,0.006146949105495694,4368,7,0,5,4,8,0,2,0
123,L'sea Resources International Hldg Ltd,0.006138137095488388,2485,6,0,0,5,13,0,0,0
124,Industronics Berhad,0.006021155318326701,4399,6,0,7,4,10,0,1,0
125,"EG Co., Ltd.",0.006019690853556702,3686,9,0,7,14,2,0,2,0
126,"AMPIRE CO., LTD",0.005971591939820247,3064,5,0,1,23,0,0,0,1
127,Atlatsa Resources Corp (USA),0.005930980194309727,5539,7,0,7,6,21,0,2,0
128,IDM International Ltd,0.005898572019509554,2515,3,0,1,6,3,0,1,0
129,North American Palladium Ltd (USA),0.005896102029682672,3931,7,0,3,5,14,0,2,0
130,Suzhou Chunxing Precision Mechncl Co Ltd,0.005797394205887096,3140,5,0,0,5,9,0,1,0
131,Success Electronics Ltd,0.005708248122381329,1895,2,0,2,0,1,0,0,0
132,ELK Corp,0.0057051639318617476,2825,3,0,1,3,3,0,1,0
133,Jiangsu Nata Opto-electronic Materia,0.005702996119524068,2988,7,0,1,3,7,0,1,0
134,Sang-A Frontec Co Ltd,0.005680239704237901,2925,6,0,0,8,4,0,4,0
135,Argex Titane Inc,0.005652797149922141,5180,6,0,8,3,0,0,0,0
136,Chung Hwa Picture Tubes LTD.,0.005567591622956707,5883,6,0,3,18,0,0,2,1
137,Success Transformer Corporation Bhd,0.005532115593552349,3958,5,0,1,3,25,0,10,0
138,Sinopower Semiconductor Co Ltd,0.005525305891744301,3443,6,0,2,7,2,0,2,0
139,Ningxia Orient Tantalum Industry Co Ltd,0.005509946725552858,2588,8,0,1,6,27,0,3,0
140,Semiconductor Manufacturing Int'l (ADR),0.005467668502505189,3748,4,0,0,2,0,0,9,0
141,KEC Corp.,0.005466265895794113,3402,6,0,1,5,4,0,1,0
142,Wesizwe Platinum Ltd.,0.00535401615590534,7028,10,0,9,9,23,0,4,0
143,"Macronix International Co., Ltd.",0.00533275891130999,5253,8,0,13,6,2,0,0,0
144,Pele Mountain Resources Inc.,0.005247516973528286,4271,8,0,4,3,18,0,3,0
145,"Silicon Optronics, Inc.",0.005225252188564062,2781,7,0,0,3,5,0,3,0
146,Neah Power Systems Inc,0.005224272023611381,6988,5,0,5,3,17,0,11,0
147,Tawana Resources N.L.,0.005201158718408879,5968,8,0,25,2,17,0,6,0
148,"G-Shank Enterprise Co.,Ltd.",0.0051315348352548315,3112,6,0,0,4,18,0,0,0
149,Kuroda Electric Co Ltd,0.005126218050006429,2302,5,0,0,4,4,0,1,0
150,Excelliance Mos Corp,0.005118221270671394,3239,4,0,0,5,9,0,0,0
151,"Unity Opto Technology Co., Ltd.",0.005106526898266931,4448,6,0,4,6,2,0,1,0
152,"Xilinx, Inc.",0.00509988128296787,9010,8,0,14,10,7,0,7,0
153,Adex Mining Inc,0.005092297193229406,3675,10,0,7,6,41,0,1,0
