,name,score,document_length,url_count,stainless,stainless steel angle,stainless steel chequered plate,stainless steel coil,stainless steel flat bar,stainless steel polishing,stainless steel sheet,stainless steel strip
64,Zwahlen & Mayr SA,2.2391945917576455e-05,2942,6,24,0,0,0,0,0,0,0
65,Remi Edelstahl Tubulars Ltd,2.1814228142965038e-05,5221,8,15,0,0,0,0,0,0,0
66,SAL Steel Ltd.,2.16783789877038e-05,3268,3,6,0,0,0,0,0,0,0
67,"Hwang-Kum Steel & Technology Co., Ltd.",2.119784439292932e-05,3491,7,20,0,0,0,0,0,0,0
68,Sinjin SM Co Ltd,1.9038551604138183e-05,2766,4,4,0,0,0,0,0,0,0
69,Seah Holdings Corp,1.8576539259944285e-05,4065,4,7,0,0,0,0,0,0,0
70,Allegheny Technologies Incorporated,1.8400519790718775e-05,5268,10,18,0,0,0,0,0,0,0
71,Izhstal' OAO (P),1.839080723964133e-05,2452,3,3,0,0,0,0,0,0,0
72,Chih Lien Industrial Co Ltd,1.721529468958044e-05,2082,4,4,0,0,0,0,0,0,0
73,SeAH Special Steel Co Ltd,1.675312410200578e-05,2059,3,4,0,0,0,0,0,0,0
74,"Nature and Environment Co., Ltd.",1.651508612394732e-05,3499,5,5,0,0,0,0,0,0,0
75,Rathi Steel And Power Ltd,1.542180965508255e-05,4433,4,5,0,0,0,0,0,0,0
76,Mechel OAO,1.5213140965006002e-05,5856,4,7,0,0,0,0,0,0,0
77,Facor Alloys Ltd,1.5184539544818088e-05,4843,5,6,0,0,0,0,0,0,0
78,"Nippon Koshuha Steel Co., Ltd.",1.463258131803327e-05,2273,3,4,0,0,0,0,0,0,0
79,Empire Industries Ltd.,1.335682292089436e-05,5464,6,14,0,0,0,0,0,0,0
80,Gansu Jiu Steel Group Hongxing Iron,1.2970437087101553e-05,3674,5,5,0,0,0,0,0,0,0
81,India Steel Works Limited,1.2206267494530378e-05,5493,8,28,0,0,0,0,0,0,0
82,Trubnaya Metallurgicheskaya Kmpny PAO,1.2066915632200395e-05,4152,8,4,0,0,0,0,0,0,0
83,RMG Alloy Steel Ltd,1.1905245924063644e-05,6466,3,6,0,0,0,0,0,0,0
84,Nisshin Steel Co Ltd,1.1447437157602634e-05,3757,7,39,0,0,0,0,0,0,0
85,Tube Investments of India Limited,1.1441761090219164e-05,6439,3,5,0,0,0,0,0,0,0
86,Vallourec SA,1.1095719444721921e-05,5129,2,4,0,0,0,0,0,0,0
87,"Zhejiang JIULI Hi-tech Metals Co., Ltd.",1.058042182785491e-05,3887,8,39,0,0,0,0,0,0,0
88,Suraj Ltd,1.0500983524196717e-05,3565,7,61,0,0,0,0,0,0,0
89,Nippon Yakin Kogyo Co Ltd,1.0414965389715128e-05,3205,10,56,0,0,0,0,0,0,0
90,"Kobe Steel, Ltd.",9.55195106432467e-06,4656,4,4,0,0,0,0,0,0,0
