,name,score,document_length,url_count,dram,flash,led,memory,sram
80,Silitech Technology Corporation,0.17375117795165662,2812,2,8,0,2,0,0
81,Elite Advanced Laser Corporation,0.1734194823820526,2845,4,8,4,1,0,0
82,STS Semiconductor and Telecommunications,0.17271654739331802,2711,7,0,3,1,15,0
83,Intel Corporation,0.17116788659972518,30281,13,17,12,102,114,7
84,Advanced Microelectronic Products Inc.,0.16753645349229654,2240,1,8,0,1,0,0
85,"RDC Semiconductor Co.,Ltd",0.1648049892230156,2724,3,11,0,1,3,0
86,Eagle Mountain Corp,0.1616608936943381,5423,4,4,3,11,20,1
87,MARUBUN CORPORATION,0.16038027259058377,2559,5,0,1,4,6,0
88,"Macronix International Co., Ltd.",0.16034295977457655,5269,11,8,134,8,42,0
89,ASEC International Corporation,0.1596391241037066,2496,5,8,0,6,1,0
90,Micro Base Technology Corp,0.15770295512865778,2507,3,8,0,5,0,0
91,"Makus, Inc.",0.15750677092854048,4075,7,0,0,2,8,0
92,"Taiwan Chi Cheng Enterprise Co.,Ltd",0.1556587073596723,3119,2,8,0,2,0,0
93,Ace Pillar Co Ltd,0.15347139560016257,3052,5,14,8,8,0,0
94,"FOCI Fiber Optic Communications, Inc.",0.15066915090723443,2529,1,8,0,1,0,0
95,"Howteh Technology Co., Ltd.",0.15038702277314298,3065,3,8,0,4,0,0
96,"Pontex Polyblend Co., Ltd.",0.15027505477959224,3644,3,8,0,3,0,0
97,Lung Lung Pien Vacuum Industry Co Ltd,0.1501831037894312,2871,1,8,0,1,0,0
98,Ichia Technologies Inc.,0.1490413634238962,2959,4,8,0,5,0,0
99,Prolink Microsystems Corp,0.14838056378895392,9391,4,9,1,21,1,7
100,Mildex Optical Inc.,0.14678754748434247,2905,3,8,0,4,0,0
101,Sentronic International Corp,0.14237512503081676,4183,4,8,0,2,3,0
102,Kenmos Technology Co. Ltd.,0.141868774079974,3164,3,8,0,4,0,0
103,Sino-American Silicon Products Inc.,0.14163581613957915,2759,4,8,0,5,0,0
104,Turvo International Company Limited,0.14027060174217149,3148,4,8,0,5,0,0
105,"Siliconware Precision Industries Co, Ltd",0.14017922952528092,3730,5,1,1,3,6,1
106,Darfon Electronics Corp,0.13967311998555085,2159,4,8,0,8,0,0
107,Contrel Technology Co Ltd,0.1389385464238156,2576,4,8,0,8,1,0
108,"Soaring Technology Co., Ltd.",0.13828244570365986,3432,3,9,0,2,0,0
109,"Ryosan Company, Limited",0.13804532374590653,2132,6,0,1,4,4,0
110,Siliconware Precision Industries (ADR),0.1379181998300911,3373,4,0,1,3,4,0
111,Calitech Co Ltd,0.13720677509698914,2741,4,8,0,7,0,0
112,NICHING INDUSTRIAL CORPORATION,0.13481104540081296,763,7,0,1,9,3,0
113,Chen Full International Co Ltd,0.13354451600854012,3996,2,8,0,4,0,0
114,United Microelectronics Corp.,0.1311036855720797,5059,6,1,4,9,13,1
115,Advanced Digital Chips Inc,0.1302918079551075,2983,4,0,1,1,4,0
116,Solomon Technology Corporation,0.1271254163199351,3662,4,8,0,3,1,0
117,"Visual Photonics Epitaxy Co., Ltd",0.12482055802094767,3112,4,8,1,4,1,0
118,Koryo Electronics Co Ltd,0.12361606851634065,3913,5,8,0,5,1,1
119,Donpon Precision Inc.,0.12319869363845011,4395,2,8,0,2,0,0
120,"Jochu Technology Co., Ltd.",0.12256969172067331,3403,4,8,0,4,0,0
121,"ThinTech Materials Technology Co., Ltd.",0.12241144803933787,4438,3,8,0,3,0,0
122,ISC Co Ltd,0.12146034665453917,2665,4,0,1,2,3,0
123,SUNNIC Technology & Merchandise Inc.,0.12132162995462717,3522,5,8,0,5,0,0
124,Daiwa Associate Holdings Limited,0.11933336159861854,3282,3,0,0,4,4,0
125,All Ring Tech Co Ltd,0.11812939237258836,2051,6,8,0,13,1,0
126,Abico FS Co Ltd,0.11702330164182195,4069,3,8,0,4,1,0
127,"Tamul Multimedia Co., Ltd",0.1168678619782405,3169,4,0,3,1,3,0
128,Taiwan IC Packaging Corporation,0.11573295548860546,3423,3,8,1,6,1,0
129,AverLogic Technologies Corporation,0.11237035042982477,2818,11,1,1,4,25,0
130,Hua Hong Semiconductor Ltd,0.11151196055442333,2911,4,0,15,1,6,0
131,Chander Electronics Corp.,0.11031160576977088,2325,4,0,0,2,3,0
132,Jubilee Industries Holdings Ltd,0.10516106767820121,2425,4,0,1,4,3,0
133,Inventec Besta Co Ltd,0.1049701171856987,3883,3,8,1,2,0,0
134,Holtek Semiconductor Inc.,0.1017638373521653,13713,15,0,220,159,90,14
135,KUEN CHAANG UPPERTECH CORP.,0.1013276145991814,5452,8,0,2,4,9,0
136,Team Group Inc,0.09877604164705356,3401,8,0,6,2,58,0
137,ASIX ELECTRONICS CORPORATION LTD,0.09807641424879852,5052,3,0,5,7,3,2
138,Uniquest Corporation,0.09800040609130377,2160,6,0,1,5,2,0
139,"PRESCOPE TECHNOLOGIES CO.,LTD",0.09670617071492711,3538,4,8,0,9,0,0
140,Advanced Wireless Semiconductor Company,0.09661506479256649,4364,3,10,0,6,1,0
141,Green World Hotels Co Ltd,0.0948813733890829,4217,1,8,0,1,0,0
142,"Hanyang Digitech Co., Ltd.",0.09248281287113527,5942,5,3,8,24,12,0
143,"Subtron Technology Co., Ltd.",0.09052515204965769,3857,4,8,0,4,0,0
144,CML Microsystems Plc,0.08870246262959869,4752,9,0,9,8,6,0
145,Shunsin Technology Holdings Ltd,0.08748680051336516,3412,5,1,2,1,2,0
146,ADTEC Corporation,0.0866751783229719,2792,7,0,1,10,6,0
