,name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
76,Promate Electronic Co Ltd,0.05186010611091596,2671,7,11,0,2,0,0
77,Mobicon Group Limited,0.051685613725729135,3682,8,9,1,0,0,0
78,Lien Chang Electronic Enterprise Co. Ltd,0.05056410216681783,2542,4,0,0,13,3,0
79,TAMURA CORPORATION,0.05033630205129836,3907,13,18,0,7,21,0
80,"MAXTEK TECHNOLOGY CO., LTD.",0.04911662388759636,2062,3,2,0,0,2,0
81,AIKO CORPORATION,0.04890490490482861,3006,4,2,0,0,4,0
82,"BESTEC POWER ELECTRONICS CO., LTD",0.0488671785903112,2552,6,0,0,32,23,0
83,Solomon Technology Corporation,0.048211300151132994,3650,5,5,0,0,2,0
84,Wenzhou Hongfeng Electrical Alloy Co Ltd,0.04814635451144464,2331,3,2,0,0,4,0
85,"Sansha Electric Manufacturing Co., Ltd.",0.04795294378858134,2743,6,0,0,13,2,0
86,"Teikoku Tsushin Kogyo Co., Ltd.",0.04726389981598556,2763,8,6,2,0,28,0
87,Ablerex Electronics Co Ltd,0.04680519575841275,1594,4,0,0,1,4,0
88,MARUBUN CORPORATION,0.04661885855943122,2550,3,5,0,0,0,0
89,Unitron Tech Co Ltd,0.04655226600143578,2349,5,11,0,0,0,0
90,"HAGIWARA ELECTRIC CO., LTD.",0.04642015072839896,2155,4,1,0,0,5,0
91,Shenzhen Auto Electric Pwr Plnt Co Ltd,0.045612910699546115,2545,5,0,0,11,3,0
92,Sebang Global Battery Co Ltd,0.045232939694764544,3432,3,4,0,4,0,0
93,Excel Co Ltd,0.04475979678128927,2916,3,4,0,0,2,0
94,Premier Farnell plc,0.04397594378347582,4947,7,11,0,2,3,0
95,S.A.S. Dragon Holdings Limited,0.04390399615029364,4321,7,15,1,5,1,0
96,"Victek Co., Ltd.",0.0438585612404913,2143,3,0,0,5,0,0
97,Formosa Electronic Industries Inc,0.041559829043149865,1865,2,0,0,4,0,0
98,Global Electrical Technology Corp,0.04119018114674909,3113,4,0,0,5,2,0
99,Tokyo Electron Device Ltd,0.04066198239980101,4743,6,11,0,2,2,0
100,Daetwyler Holding AG,0.04063663562354526,3545,5,5,0,0,0,0
101,Serial System Ltd,0.04062992496307155,3981,3,7,0,0,0,0
102,Shunde Samyang Co Ltd,0.04043307994122125,2321,5,0,0,38,8,0
103,SUNNIC Technology & Merchandise Inc.,0.04028929118594881,3815,5,8,0,1,0,0
104,Beijing Dinghan Technology Co Ltd,0.040101648787629986,2387,5,0,0,12,0,0
105,"Toshin Group Co., Ltd.",0.0399305925326444,3185,5,0,0,0,6,0
106,"NADEX CO., LTD.",0.039636686625112244,2296,2,3,0,1,0,0
107,Shenzhen Kstar Science And Technology,0.039146361557801365,2394,6,0,0,10,0,0
108,Neways Electronics International NV,0.03831059595380006,3761,4,8,0,0,0,0
109,OMRON Corporation,0.03717631066961881,6406,8,6,0,19,53,0
110,"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.03666693601311943,4222,2,0,0,1,7,0
111,Beijing Metro High Point Technlgy Co Ltd,0.036547046407120386,5880,3,0,0,3,7,0
112,SOLYTECH ENTERPRISE CORPORATION,0.036534215588317535,1460,9,0,0,42,3,0
113,BOS Better OnLine Sol (USA),0.036514368914734134,3581,6,14,1,0,0,0
114,Yuyang D&U Co Ltd,0.035881302665069496,3365,6,0,0,11,0,0
115,Sea Sonic Electronics Co Limited,0.03582852410091193,3184,9,0,0,27,5,0
116,China Titans Energy Technology Group Co,0.03571698912384062,3906,4,0,0,15,6,0
117,Choo Chiang Holdings Ltd,0.03555571285834287,3786,4,0,0,0,8,0
118,Tokai Electronics Co Ltd,0.03539856805990438,6076,9,16,2,2,16,0
119,"Chuo Seisakusho, Ltd.",0.03523166788867323,2522,10,3,0,24,0,0
120,Chicony Power Technology Co Ltd,0.03520983073686356,5289,12,5,0,38,7,0
121,Shanghai Laimu Electronics Co Ltd,0.03371731283751431,3242,6,6,0,0,25,0
122,"Beijing Dynamic Power Co., Ltd.",0.03252025422962707,3081,6,0,0,34,9,0
123,WPG Holdings Limited,0.03180504787441223,1781,2,2,0,1,0,0
124,GS Yuasa Corporation,0.031444398193606914,3048,4,0,0,7,1,0
125,Ideal Power Inc,0.031126656242709713,2691,5,0,0,1,13,0
126,Friwo AG,0.030421671346196357,2147,7,0,0,19,0,0
127,Pierides Holdings Plc,0.029808981161441338,4217,4,0,0,0,5,0
128,Zenitron Corp,0.029291919558562498,1097,2,0,0,2,0,0
129,Beijing Zhong-Ke Clm El Etrc Tech Co Ltd,0.029254868153621928,3532,1,0,0,1,3,0
130,WindSun Science and Technology Co Ltd,0.02844587584836878,5243,2,3,0,1,4,0
131,"Universal Power Group, Inc.",0.028121247066399246,3690,3,2,0,3,0,0
132,Dragon Group International Limited,0.027944099371947237,3392,3,4,0,0,0,0
133,Amara Raja Batteries Ltd,0.02770059821080123,2411,3,0,0,3,1,0
134,Leader Electronics Inc.,0.027473318796248446,4165,7,0,0,53,21,0
135,Kung Long Batteries Industrial Co Ltd,0.027114708324034002,5176,5,0,0,6,0,0
136,"Dee Van Enterprise Co., Ltd.",0.026850656390214448,3268,6,2,0,52,3,0
137,"Samya Technology Co.,Ltd",0.02670594958270813,2077,2,0,0,3,0,0
138,Smart-Core Holdings Ltd,0.025988147608935874,4701,3,5,0,0,0,0
139,Hold Jinn Electronics Co Ltd,0.02563762943961291,2853,2,1,0,1,1,0
140,Proton Power Systems Plc,0.025167372078439016,3138,3,0,0,4,1,0
141,AV Concept Holdings Limited,0.024965986299645696,2936,3,3,0,0,0,0
142,Greatop Co Ltd,0.024882616647664363,2063,1,0,0,1,2,0
143,Nisshinbo Holdings Inc.,0.024241392504613032,5963,5,5,0,0,0,0
144,Hunan Zhongpu Lightning Prtection Co Ltd,0.023938475151307474,2635,5,0,0,11,0,0
145,MetaTech (AP) Inc.,0.02340545797668332,3714,2,2,0,0,1,0
146,PNESolution Co Ltd,0.02303904684916156,2626,6,0,0,26,0,0
147,Shandong Sacred Sun Power Sources Co Ltd,0.02255127756299565,3136,5,0,0,5,0,0
148,East Group Co Ltd,0.02233392531872327,3892,7,0,0,35,5,0
149,Shenzhen Deren Electronic Co Ltd,0.0214353754414328,3182,2,3,0,0,0,0
150,AcBel Polytech Inc.,0.020750040179002113,3046,7,4,0,48,0,0
151,Delta Electronics Thailand PCL,0.020536756388153145,4564,8,2,0,25,3,0
152,Topower Co Ltd,0.020000982502025897,4667,8,0,0,27,5,0
153,Supercomnet Technologies Bhd,0.019342565616655923,6212,5,0,0,0,5,0
154,"Delta Electronics, Inc.",0.019311556529299452,6527,7,5,0,31,5,0
155,Cosel Co Ltd,0.018386265190418884,3084,11,0,0,96,9,0
156,"MORIO DENKI CO., LTD.",0.017920599812232593,5022,5,2,0,0,16,0
157,ENERMAX TECHNOLOGY CORPORATION,0.01788962522642416,6357,11,0,0,43,11,0
158,Ampli SA w upadlosci ukladowej,0.01744018367323672,3054,4,0,0,0,4,0
159,"Allis Electric Co., Ltd.",0.0170717001183598,5043,11,0,0,17,73,0
160,Gamatronic Electronic Industries Ltd.,0.016960477403436994,4843,9,0,0,39,4,0
161,3W Power SA,0.016568721992856895,7331,6,1,0,14,4,0
162,Leoch International Technology Ltd,0.01624444366031767,1769,2,0,0,2,0,0
163,FSP Technology Inc,0.016104501916354416,2813,8,0,0,39,0,0
164,Phihong Technology Co Ltd,0.0160323372317333,5160,9,2,0,34,2,0
165,"Axion Power International, Inc.",0.01599492023314846,5441,2,0,0,5,0,0
166,"Shindengen Electric Mfg. Co., Ltd.",0.01589963781783829,5654,14,0,0,36,5,0
167,P-Duke Technology Co Ltd,0.0145066015314955,3069,12,0,0,73,5,0
168,Chialin Precision Industrial Co Ltd,0.013956708424486439,3270,1,2,0,0,0,0
169,Zhuzhou CRRC Times Electric Co Ltd,0.013950131654157833,2884,2,0,0,2,1,0
170,"MABUCHI MOTOR CO., LTD.",0.013848582857621227,8799,3,2,0,13,2,0
171,"CyberPower Systems, Inc.",0.013414081050514726,11324,7,0,0,14,16,0
172,KUEN CHAANG UPPERTECH CORP.,0.012665338555726867,5075,3,0,0,0,3,0
173,"Well Shin Technology Co., Ltd.",0.011507174037553202,4596,2,0,0,4,0,0
