name,score,document_length,url_count,stainless,stainless steel angle,stainless steel chequered plate,stainless steel coil,stainless steel flat bar,stainless steel polishing,stainless steel sheet,stainless steel strip
Aichi Steel Corp,1.135817989387816e-06,3011,12,12,0,0,0,0,0,0,0
"MIE CORPORATION CO. , LTD",1.120629919670457e-06,5633,13,15,0,0,0,0,0,0,0
Asia Huu Lien JSC,1.1193327053639196e-06,3244,7,13,0,0,0,0,0,0,0
Remi Edelstahl Tubulars Ltd,1.045291074458841e-06,5221,9,15,0,0,0,0,0,0,0
Tubacex SA,9.809057291732592e-07,2858,10,8,0,0,0,0,0,0,0
Steel Pipe Industry of Indonesia Tbk PT,9.797659238951475e-07,2702,9,9,0,0,0,0,0,0,0
"Xining Special Steel Co.,Ltd",7.871088723280972e-07,3500,9,9,0,0,0,0,0,0,0
"Hankuk Steel Wire Co., Ltd.",7.519017722113655e-07,2660,10,8,0,0,0,0,0,0,0
Electrotherm (India) Ltd,7.424998321638157e-07,2211,6,4,0,0,0,0,0,0,0
Daeho P&C Co Ltd,7.212134087778674e-07,2239,10,5,0,0,0,0,0,0,0
INDIAN METALS & FERRO ALLOYS LTD,7.094316158526497e-07,5396,9,10,0,0,0,0,0,0,0
Good Luck Steel Tube Ltd,6.798207999791632e-07,2104,8,4,0,0,0,0,0,0,0
"Fushun Special Steel Co., Ltd.",6.116571612076447e-07,3383,10,8,0,0,0,0,0,0,0
SAL Steel Ltd.,5.814929668378781e-07,3268,8,6,0,0,0,0,0,0,0
Empire Industries Ltd.,5.67237479512986e-07,5464,13,14,0,0,0,0,0,0,0
Sinjin SM Co Ltd,5.106831955869863e-07,2766,9,4,0,0,0,0,0,0,0
Seah Holdings Corp,4.98290344216807e-07,4065,9,7,0,0,0,0,0,0,0
Izhstal' OAO (P),4.933083359410028e-07,2452,9,3,0,0,0,0,0,0,0
Chih Lien Industrial Co Ltd,4.6177681411099036e-07,2082,10,4,0,0,0,0,0,0,0
SeAH Special Steel Co Ltd,4.493797180778214e-07,2059,10,4,0,0,0,0,0,0,0
"Nature and Environment Co., Ltd.",4.429946737827745e-07,3499,10,5,0,0,0,0,0,0,0
Rathi Steel And Power Ltd,4.1366902273595e-07,4433,9,5,0,0,0,0,0,0,0
Mechel OAO,4.0807176955813583e-07,5856,12,7,0,0,0,0,0,0,0
Facor Alloys Ltd,4.073045754478068e-07,4843,8,6,0,0,0,0,0,0,0
"Nippon Koshuha Steel Co., Ltd.",3.9249904838115063e-07,2273,13,4,0,0,0,0,0,0,0
Gansu Jiu Steel Group Hongxing Iron,3.479142950328874e-07,3674,10,5,0,0,0,0,0,0,0
Trubnaya Metallurgicheskaya Kmpny PAO,3.236785635831255e-07,4152,20,4,0,0,0,0,0,0,0
RMG Alloy Steel Ltd,3.193419940321652e-07,6466,13,6,0,0,0,0,0,0,0
Tube Investments of India Limited,3.0690964513423987e-07,6439,11,5,0,0,0,0,0,0,0
Vallourec SA,2.9762754967849626e-07,5129,12,4,0,0,0,0,0,0,0
"Kobe Steel, Ltd.",2.5621806716428784e-07,4656,10,4,0,0,0,0,0,0,0
Vietnam Germany Steel Pipe JSC,2.3385122928665904e-07,3670,9,3,0,0,0,0,0,0,0
Cemtas Celik Makina Sanayi ve Ticaret AS,1.9049223685892774e-07,6148,9,3,0,0,0,0,0,0,0
"Kobe Steel, Ltd. (ADR)",1.5204160459217206e-07,6665,10,3,0,0,0,0,0,0,0
Son Ha Sai Gon JSC,1.2843954178009157e-07,6564,10,3,0,0,0,0,0,0,0
STEEL FLOWER CO LTD,6.577249021522611e-08,1801,10,1,0,0,0,0,0,0,0
Dong Il Steel Manufacturing Co Ltd,5.296356423764439e-08,2957,10,1,0,0,0,0,0,0,0
Innoventive Industries Ltd,5.220067332169831e-08,3843,10,1,0,0,0,0,0,0,0
Garg Furnace Ltd,4.8081275681077994e-08,3849,9,1,0,0,0,0,0,0,0
Mechel OAO (ADR),4.076285773829546e-08,5156,14,1,0,0,0,0,0,0,0
Metallurg. zavod Elektrostal' OAO (P),1.1525759297893084e-08,21017,7,1,0,0,0,0,0,0,0
