name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
Atech OEM Inc,0.5128850315203634,4745,15,0,0,39,23,16
Wuhan P&S Information Technology Co Ltd,0.23195195343345595,2471,6,29,0,1,17,1
Sakae Electronics Corporation,0.23121878096247617,3127,10,9,5,5,4,0
"Cincon Electronics Co.,Ltd.",0.19325450599332583,2827,10,3,0,39,26,0
"Richardson Electronics, Ltd.",0.18335944017647926,4731,12,1,0,4,17,4
Laird PLC,0.17651307943635677,10569,12,0,0,3,0,19
Zippy Technology Corp,0.1718603006367694,1236,6,4,0,5,17,0
Cosel Co Ltd,0.16108454652923535,3084,13,0,0,96,9,0
Alltek Technology Corp.,0.15847884178626354,2773,9,0,0,0,21,3
SUN-WA TECHNOS CORPORATION,0.14701373158643866,2039,10,1,2,27,4,0
Koryo Electronics Co Ltd,0.14648539854758486,3212,9,12,7,0,1,0
"Channel Well Technology Co., Ltd",0.14289882679009883,2372,11,0,0,28,10,2
Shijiazhuang Tonhe Electrncs Techs CoLtd,0.1337438361071839,3140,8,0,0,26,13,1
SOLYTECH ENTERPRISE CORPORATION,0.12698834249573634,1460,9,0,0,42,3,0
"BESTEC POWER ELECTRONICS CO., LTD",0.12525030046371935,2552,11,0,0,32,23,0
OMRON Corporation,0.12384022224149979,6406,17,6,0,19,53,0
"MITACHI CO., LTD",0.11956853999098857,3840,10,4,6,0,4,0
"Origin Electric Co., Ltd",0.11753893015582066,3371,9,6,0,33,7,0
Shenzhen Topeast Technology Co Ltd,0.11208142475728665,3074,10,3,3,1,8,0
Leader Electronics Inc.,0.10803482115386298,4165,12,0,0,53,21,0
"Dee Van Enterprise Co., Ltd.",0.1041909597593599,3268,7,2,0,52,3,0
Shunde Samyang Co Ltd,0.10325005990250576,2321,8,0,0,38,8,0
"ENG ELECTRIC CO., LTD.",0.10289494906695999,2129,7,2,0,31,13,0
"BULL WILL CO., LTD.",0.1018692761481,3682,14,8,1,10,7,0
P-Duke Technology Co Ltd,0.09899767599322225,3069,12,0,0,73,5,0
"Ryosan Company, Limited",0.09817305556643499,2329,9,16,1,5,0,0
"Allis Electric Co., Ltd.",0.09506930904859306,5043,11,0,0,17,73,0
Tennrich International Corp,0.09171347185377662,1711,7,0,0,2,0,4
Chicony Power Technology Co Ltd,0.08829615797587008,5289,13,5,0,38,7,0
Gold Tat Group International Ltd,0.08597647606496384,3609,8,2,14,0,0,0
Fuji Electric Co Ltd,0.08501292319064582,3399,10,0,0,13,15,1
Chander Electronics Corp.,0.08499683543092512,3258,9,10,4,0,0,0
NIPPO LTD.,0.08415949670745894,2167,9,1,5,0,0,0
AcBel Polytech Inc.,0.08137526122060754,3046,7,4,0,48,0,0
TAMURA CORPORATION,0.08114084972208693,3907,13,18,0,7,21,0
Sino-American Electronic Co Ltd,0.07803508656406458,2589,13,1,0,15,12,0
Forth Corporation PCL,0.0747495070710477,3147,9,1,5,0,1,0
"Beijing Dynamic Power Co., Ltd.",0.07237515895341366,3081,7,0,0,34,9,0
SIIX Corp.,0.07235507602974076,3078,9,4,4,0,1,0
"Teikoku Tsushin Kogyo Co., Ltd.",0.07102088856049872,2763,9,6,2,0,28,0
ASEC International Corporation,0.07063909972619836,2435,7,3,1,0,0,1
S.A.S. Dragon Holdings Limited,0.06732919544602815,4321,8,15,1,5,1,0
"Ehwa Technologies Information Co., Ltd.",0.06722232953994907,2363,9,3,0,16,4,0
Promaster Technology Corp.,0.06361860497814806,2810,16,5,1,0,0,2
"Universal Microelectronics Co., Ltd.",0.06288411988230726,2563,7,2,0,14,2,1
Dongyang E&P Inc,0.06251477690243072,2172,9,0,0,13,10,0
Sea Sonic Electronics Co Limited,0.061260794597489905,3184,13,0,0,27,5,0
