name,score,document_length,url_count,coffee,drink,food,juice,water
Jammin Java Corp,0.44196544650413294,4508,9,148,17,7,0,1
Dongsuh,0.39071002141759276,8506,12,154,7,90,1,5
RG Brands AO,0.3061106081177777,4260,9,1,72,22,209,12
"S. ISHIMITSU & CO., LTD.",0.2545227594514579,3833,9,70,3,81,0,1
SAPPE PCL,0.20682533601570827,5235,12,45,127,12,57,7
PC Splash Water Public Company Ltd,0.20365816257430727,2681,9,23,17,8,2,60
Lotte Chilsung Beverage Co Ltd,0.19902672590962775,2660,7,15,44,3,19,23
Pinar Su Sanayi ve Ticaret A.S.,0.17554405168524537,2868,8,14,30,12,14,22
"DyDo DRINCO, INC.",0.14435324514910375,4281,10,28,32,10,5,5
Nestle SA,0.1431781560116347,11645,16,42,28,166,0,116
Cott Corporation (USA),0.1358136689931412,4824,11,16,81,4,16,35
Coca-Cola Amatil Ltd,0.1349243859542544,5192,12,20,32,20,6,20
MOJO Organics Inc,0.12747355167741822,2551,10,6,3,7,16,17
National Mineral Water Company SAOG,0.1183058345183506,19819,9,13,42,89,14,307
Gulfa Mineral Water & Processing Ind Co.,0.11736844881659493,3737,9,3,10,19,6,73
Hokkaido Coca Cola Bottling Co Ltd,0.11410451676884512,2420,7,7,19,10,7,8
Staatl.Mineralbrunnen AG Bad Brueckenau,0.11211434475364783,3496,7,7,21,6,7,26
Oman Refreshment Company,0.11179267434040158,4434,9,3,63,47,25,30
Hey-Song Corp,0.11124634618789359,4310,9,10,101,6,11,4
Les Toques Blanches du Monde SARL,0.10740664350627069,11728,8,19,36,94,25,26
CUROHOLDINGS Co Ltd,0.09970910701958051,3339,12,25,1,12,0,1
Dubai Refreshments PJSC,0.0955139822465567,2283,9,3,45,8,8,12
Monster Beverage Corp,0.09199894435998851,9194,16,11,133,16,51,11
Kofola SA,0.08851073619493648,6378,10,11,49,12,11,15
Alkaline Water Company Inc,0.08780964953415113,4619,13,0,15,10,0,199
Water Direct Corp,0.08732710760993873,4137,10,0,1,4,0,181
Tibet 5100 Water Resources Holdings Ltd,0.0839376227644327,4433,11,0,3,3,0,153
Dhofar Beverage & Food Stuff Co SAOG,0.07697693941865705,3513,8,3,33,108,14,22
Organizacion Cultiba SAB de CV,0.07586283837519797,4173,8,7,25,8,7,17
National Beverage Corp.,0.07556935517385185,7094,13,7,68,8,35,43
Emirates Refreshments PSC,0.07002985582113172,2523,10,3,17,6,3,27
"ITO EN, LTD.",0.06935785615919497,4776,15,17,45,6,4,9
Spritzer Bhd,0.06590583102653523,4138,9,0,39,4,0,117
Khanh Hoa Mineral Water JSC,0.06405299038337091,3069,10,0,11,18,0,99
Les Eaux Minerales d'Oulmes SA,0.06318063334887769,5174,10,7,31,33,9,24
Uni-President China Holdings Ltd.,0.06144634242413953,4091,8,5,21,38,11,7
Nafoods Group JSC,0.05806401520894435,3144,8,2,4,120,24,3
Jamnica dd,0.05227483552501827,3691,18,0,37,2,4,130
Nichols plc,0.05129011998655644,5614,11,5,97,16,3,5
Suntory Beverage & Food Ltd,0.04970637441471421,6236,10,14,31,105,0,47
Refresco Gerber NV,0.04964101722681321,4954,11,0,54,5,22,8
Embotelladora Andina SA,0.04852907040051571,5530,9,0,40,6,16,22
A.G. Barr plc,0.048090813052606526,7358,9,0,107,6,13,40
Coca-Cola Enterprises Inc,0.04539110418292603,7761,14,3,58,8,11,39
Your Drinks AG,0.04504366201387533,2241,8,3,82,0,3,0
Pulse Beverage Corp,0.042594050714270394,6278,13,0,22,28,6,77
Coca Cola HBC AG,0.04084809571059629,5086,8,4,37,2,12,16
Ersu Meyve ve Gida Sanayi AS,0.039853040493868175,3380,8,1,2,41,24,1
Corporacion Lindley SA,0.03674788765962212,9358,18,0,111,6,19,36
"Oceanic Beverage Co., Inc",0.035174863974866064,3625,8,0,11,9,10,9
Krynica Vitamin SA,0.032098956331539516,2903,14,0,57,18,5,4
Sodastream International Ltd,0.03187518766669831,9764,15,2,56,7,2,77
