name,score,document_length,url_count,cobalt,electronic material,electronics,fine chemical,fuel cell,gallium,gold,metal,pharmaceuticals,plating,platinum,polymers,silver,specialty chemical,steel,tantalum,tungsten
E&M Co Ltd,0.0013168817394977588,2302,9,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0
Devhari Exports (India) Ltd,0.0012119245100685391,3304,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0
Empire Resources Inc,0.0011420854439610575,3116,5,0,0,1,0,0,0,0,7,0,0,0,0,0,0,6,0,0
"ZHONGYUAN SPECIAL STEEL CO.,LTD.",0.0011018998944367546,2013,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,61,0,0
Brodomerkur dd,0.0010729000754218282,2610,8,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"ONOKEN CO., LTD.",0.0010670388242947808,3333,11,0,0,0,0,0,0,1,7,0,0,0,0,0,0,61,0,0
Fujian Start Group Co Ltd,0.0010318156101972987,2747,8,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0
BOWIM SA,0.0009443416957740735,4593,11,0,0,0,0,0,0,3,1,0,0,0,0,0,0,29,0,0
"HANWA CO., LTD.",0.0009392478276959114,4472,11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,115,0,0
Rich Asia Corporation PCL,0.0009073630436585594,5354,12,0,0,0,0,0,0,1,5,0,0,0,0,0,0,85,0,0
Atta Global Group Bhd,0.0008357847602380315,12819,13,0,0,0,0,0,0,8,49,0,0,0,0,0,0,14,0,0
Jacquet Metal Service SA,0.0007614699754675112,3870,8,0,0,0,0,0,0,2,72,0,0,0,0,0,0,51,0,0
Dasheng Times Cultural Investment Co Ltd,0.0007342040322037953,3914,9,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,0
Russel Metals Inc,0.0007210222762414763,8164,12,0,0,0,0,0,0,0,158,0,0,0,0,0,0,149,0,0
Max Metal Corporation PCL,0.0007097267620297697,2891,8,0,0,0,0,0,0,0,55,0,0,0,0,0,0,54,0,0
Marufuji Sheet Piling Co Ltd,0.000696921966784733,4854,9,0,0,0,0,0,0,2,24,0,0,0,0,0,0,40,0,0
Sahamit Machinery Public Company Limited,0.0006876326466391233,4148,13,0,0,0,0,0,0,1,19,0,0,0,0,0,0,43,0,0
Tycoons Group Enterprise Co Ltd,0.0005928331956070031,3016,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,0,0
Asia Enterprises Holding Limited,0.000541217639493523,4802,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,63,0,0
Engtex Group Berhad,0.0005220091550826258,5595,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,66,0,0
WMT SANA Joint Venture Joint Stock Co,0.0003623269227688035,2070,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0
Tradi SA,0.00034144771703100893,14125,10,0,0,1,0,0,0,1,10,0,0,0,0,0,0,12,0,0
Hyunjin Materials Co Ltd,0.00032324659818921443,3327,9,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0
Zibao Metals Recycling Holdings Plc,0.0002721460514186984,3819,9,0,0,0,0,0,0,1,127,0,0,0,0,0,0,2,0,0
Incus Investor ASA,0.00026067226409901933,1992,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0
Hashimoto Sogyo Holdings Co Ltd,0.0002470360760946913,3408,8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0
Seiwa Chuo Holdings Corp,0.00023787587897687202,2956,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0
Bsi (sa) Limited,0.0002287525874523656,9243,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,0,0
CITIC Resources Holdings Limited,0.00021179753589301107,8501,12,0,0,0,0,0,0,2,27,0,0,0,0,0,0,9,0,0
Tehnometal-Vardar AD Skopje,0.00020319591130082897,2876,8,0,0,0,0,0,0,0,54,0,0,0,0,0,0,4,0,0
MRC Global Inc,0.00019927836159048225,10889,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63,0,0
Tien Bo Group JSC,0.00015096131569274237,2142,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0
Rasa Corporation,0.00012844552078364904,2734,11,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,0,0
Nordwest Handel AG,9.695163395836149e-05,3364,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
L.B. Foster Co,9.586027593262891e-05,3541,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
Solavina JSC,1.880764823527438e-05,2588,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
"Shanghai Material Trading Co., Ltd.",1.756626178258318e-05,2575,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
China Strategic Holdings Ltd,2.287042288701113e-06,4206,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
