name,score,document_length,url_count,cleaning product,health drink,health food,health supplement,skin care,supplement
FitLife Brands Inc,0.0033061922341326823,1689,5,0,0,0,0,0,11
"Bukwang Pharmaceutical Co., Ltd.",0.003273412227241374,2315,6,0,0,0,1,0,2
ProPhase Labs Inc,0.0031744387356753695,5681,11,0,0,0,0,0,35
Chi Sheng Chemical Corporation,0.0029896556254764665,2459,9,0,0,0,1,0,0
Hyundai Pharmaceutical Co  Ltd,0.0027091075885857605,4436,7,0,0,1,0,0,1
Vitamin Shoppe Inc,0.002654945534931993,7982,12,0,0,0,0,0,26
Boiron SA,0.002561786931008435,4890,10,0,0,2,0,0,1
"Daewoong Pharmaceutical Co., Ltd.",0.002487126871179099,2995,13,0,0,0,1,0,0
Peak Pharmaceuticals Inc,0.0023302645062107845,5115,8,0,0,0,0,0,19
Venture Life Group PLC,0.0022481523547310035,3060,5,0,0,0,0,0,10
Medipharco Tenamyd Central Pharmatcl JSC,0.0018872305187789971,3429,10,0,0,0,1,0,0
Laboratorio Reig Jofre SA,0.001803106199983463,5911,13,0,0,0,0,0,22
Avidus Management Group Inc,0.001742951750712169,2997,7,0,0,0,0,0,8
Sancilio Pharmaceuticals Co Inc,0.00172685558166539,4712,11,0,0,0,0,0,13
"OXIS International, Inc.",0.001697732764074984,3495,7,0,0,0,0,0,9
Pyridam Farma Tbk PT,0.0013502863562796653,3541,9,0,0,0,0,0,7
Coral Laboratories Ltd,0.00122842790375388,4628,8,0,0,0,0,0,9
Ouro Fino Saude Animal Participacoes SA,0.0011303024670128762,3207,8,0,0,0,0,0,6
Twilight Litaka Pharma Ltd,0.0010983414112821094,2860,8,0,0,0,0,0,5
DIOD OAO,0.0010782010277924172,2493,7,0,0,0,0,0,4
Rigas Farmaceitiska Fabrika AS,0.0010397083587753806,5239,13,0,0,0,0,0,8
Tianjin Zhongxin Phrmctl Gp Cp Ltd,0.001023061356706851,3151,18,0,0,0,0,0,5
Middle East Pharmaceutical & Chemical In,0.0008992185229229733,3924,9,0,0,0,0,0,6
Alexandria Pharma. & Chemical Industries,0.0008742163671599031,4849,13,0,0,0,0,0,7
Orchid Pharma Ltd,0.0008450990485184218,6627,10,0,0,0,0,0,7
Jacks International Limited,0.0008427054184078458,3193,6,0,0,0,0,0,4
Targeted Medical Pharma Inc,0.0008040185470313321,4175,5,0,0,0,0,0,5
PKU HealthCare Corp Ltd,0.0007686280621362109,5989,9,0,0,0,0,0,7
Bioadaptives Inc,0.0007270647553241647,2575,8,0,0,0,0,0,3
NUTEX Befektetesi Nyrt,0.0007171570900875195,5577,10,0,0,0,0,0,8
Neutra Corp,0.0006915015177301582,4069,13,0,0,0,0,0,4
Tchaikapharma High Qulty Medcns AD Sofia,0.0006858583911292047,5132,10,0,0,0,0,0,5
Olainfarm AS,0.0005937883226192404,3042,9,0,0,0,0,0,3
True Drinks Holdings Inc,0.0004292627667376853,3678,10,0,0,0,0,0,3
Biovet AD Peshtera,0.00041788525882249485,4923,7,0,0,0,0,0,3
Zentiva SA,0.0003530614032058151,5150,15,0,0,0,0,0,3
Wellness Center USA Inc,0.0003428790962877278,7022,8,0,0,0,0,0,4
Abbott Laboratories,0.0002957678312828442,6499,16,0,0,0,0,0,3
Go Life International PCC,0.00022012978639090135,1332,5,0,0,0,0,0,1
Beijing Sunho Pharmaceutical Co Ltd,0.0001396893448781072,1970,9,0,0,0,0,0,1
Sequent Scientific Limited,0.0001359698806005362,2753,10,0,0,0,0,0,1
CFR Pharmaceuticals SA,0.00010303954410077332,3385,8,0,0,0,0,0,1
Hofseth Biocare ASA,9.917709716836907e-05,2722,8,0,0,0,0,0,1
Divi's Laboratories Ltd,9.913069341579474e-05,3122,10,0,0,0,0,0,1
Schnell Biopharmaceuticals,9.823333327621021e-05,3679,9,0,0,0,0,0,1
Wanbury Limited,9.809956439191744e-05,3436,10,0,0,0,0,0,1
Nature's Sunshine Prod.,8.516369661405259e-05,17144,10,0,0,0,0,0,5
CTD Holdings Inc,7.497614872881974e-05,3592,11,0,0,0,0,0,1
Hester Biosciences Ltd,7.011528137497692e-05,5666,9,0,0,0,0,0,1
Canadian Bioceutical Corp,3.919553268730517e-05,8998,11,0,0,0,0,0,1
