name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
Eagle Plains Resources Ltd.,0.004787426002615423,19089,8,0,57,23,206,0,82,0
Twinwill Optronics Inc,0.004766446549404878,5242,14,0,4,17,3,0,4,2
Toho Zinc Co Ltd,0.004732213365041289,5667,13,0,30,17,30,0,0,0
Korea Zinc Co Ltd,0.004725481559380539,2846,9,0,3,5,42,0,2,0
Mustang Industrial Corp,0.004586010436181857,6022,11,0,1,7,19,0,2,2
Manganese Mineral JSC,0.004403823023285457,9069,9,0,46,5,96,0,0,0
Info-Tek Corporation,0.004262465824497624,3119,13,0,3,6,0,0,1,1
Tongda Group Holdings Ltd.,0.004250820333195569,3538,13,0,17,2,12,0,3,0
Golden Eagle Mining Ltd,0.004226823528630548,4907,9,0,6,6,24,0,13,0
IXYS Corporation,0.0042036821637203405,4884,10,0,5,14,6,0,0,1
Hicel Co Ltd,0.004118787703668429,3000,8,0,6,9,0,0,0,1
Ningxia Orient Tantalum Industry Co Ltd,0.004105757069102254,2588,9,0,1,6,27,0,3,0
Success Transformer Corporation Bhd,0.004046011836505485,3958,7,0,1,3,25,0,10,0
Pacific North West Capital Corp.,0.00402707481307672,47663,15,0,29,30,210,0,72,0
Rebab Company SA Limited,0.004009128876725237,8044,10,0,8,49,62,0,3,0
Eurasia Mining plc,0.003972244097220996,6937,8,0,3,8,36,0,18,0
Gujarat Mineral Development Corporation,0.0039032246368522735,6066,10,0,8,12,6,0,24,0
United States Antimony Corporation,0.003889921666489244,10557,15,0,8,14,67,0,6,0
Swelect Energy Systems Ltd,0.0038235789702990015,3919,9,0,19,3,0,0,2,1
Shenghe Resources Holding Co Ltd,0.0038221345535871393,3251,8,0,3,5,20,0,3,0
Duksan Hi Metal Co Ltd,0.0037974560774955367,3040,9,0,0,5,50,0,0,0
Mineral and Mechanical JSC,0.0037574478192651693,5370,8,0,2,7,109,0,0,0
TANAKA CHEMICAL CORPORATION,0.0037294924595266832,2571,9,0,10,7,6,0,1,0
W Resources PLC,0.003590919982596504,8722,9,0,8,6,30,0,18,0
"OmniVision Technologies, Inc.",0.0035898065010549836,3641,11,0,1,2,3,0,3,1
Malaysia Smelting Corporation Berhad,0.0035861414086603392,4937,14,0,3,0,57,0,3,0
Galileo Resources PLC,0.003513380404668465,10839,13,0,17,9,24,0,19,0
LG Display Co Ltd. (ADR),0.003473524899817724,4774,7,0,0,16,0,0,5,2
Noranda Income Fund,0.0033749876353911393,4288,10,0,10,0,43,0,1,0
"Yunnan Tin Co., Ltd.",0.0033681321857974194,3409,9,0,0,7,38,0,3,0
Varitronix International Limited,0.0033600602615057483,3371,12,0,4,5,0,0,0,1
Thompson Creek Metals Company Inc,0.0033040294682355363,11031,12,0,30,2,114,0,1,0
Niocan Inc.,0.00329121446489016,4276,9,0,3,6,19,0,5,0
Niko Semiconductor Co Ltd,0.0032536241297861637,3594,10,0,0,6,2,0,1,2
Stillwater Mining Company,0.003245299038575746,8407,7,0,7,2,76,0,5,0
Nanophase Technologies Corporation,0.003240213151195164,3711,9,0,24,0,7,0,5,0
Chelyabinskiy tsinkovyi zavod OAO,0.0031810624939290363,4275,10,0,0,3,64,0,0,0
"Huludao Zinc Industry Co., Ltd.",0.0031610985602974987,2503,9,0,3,1,29,0,2,0
Ding He Mining Holdings Ltd,0.003137394572863762,3036,8,0,10,6,8,0,0,0
Tawana Resources N.L.,0.00309913379132583,5968,8,0,25,2,17,0,6,0
Wesizwe Platinum Ltd.,0.0030916174190355927,7028,13,0,9,9,23,0,4,0
Molycorp Inc,0.0030650841472194424,5678,8,0,4,17,31,0,2,0
Tovis Co Ltd,0.003056897765131848,2106,9,0,0,46,0,0,0,1
Shuz Tung Machinery Industrial Co Ltd,0.003017438516231056,2091,11,0,0,0,4,0,1,1
BOTHHAND ENTERPRISE INC.,0.002980682625367958,4634,16,0,3,7,0,0,0,2
