name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
Korea Semiconductor System,0.0076098098668174515,1585,9,0,0,0,0,0,0,52,0
"TAZMO CO., LTD.",0.007606026269798213,1566,9,0,0,2,0,0,0,19,0
Jastech Ltd,0.0073954617869130684,2785,8,0,0,0,0,0,0,7,2
Sunedison Semiconductor Ltd,0.007261559940760509,6621,13,0,0,0,0,0,0,169,0
"Mattson Technology, Inc.",0.007234567899491353,4849,11,0,0,0,1,0,0,43,0
MiCo Ltd,0.007212942635745108,1969,10,1,0,0,0,0,0,0,0
Protec Co Ltd,0.0062784147435856015,1596,13,0,0,0,0,1,0,10,0
Japan Steel Works Ltd,0.006223788002350507,3645,11,0,1,1,0,0,0,1,0
Union Semiconductor Equipment Co Ltd,0.0061053457607262015,2883,9,0,0,0,0,0,0,60,0
Equis N Zaroo Co Ltd,0.005905227377514027,8855,8,0,0,0,0,1,4,2,0
CVD Equipment Corporation,0.005904497998734159,8756,10,0,0,0,0,0,3,44,0
Tes Co Ltd,0.005348576567506763,2313,8,0,0,1,0,0,0,5,0
Vessel Co Ltd,0.005107967777696,5143,16,0,1,2,0,0,0,5,0
Cymechs Inc,0.004964590463326667,3664,10,0,0,0,0,2,0,24,0
BE Semiconductor Industrs NV (USA),0.004954432248886909,2572,7,0,0,0,0,0,0,41,0
ASTI Holdings Limited,0.004569143073371082,4225,9,0,0,0,0,0,0,65,0
Hirata Corp,0.004228662923273602,2369,15,0,0,2,0,0,0,7,0
PSK Inc,0.0037578836057436628,1912,9,0,0,0,0,0,0,28,0
Tera Semicon Co Ltd,0.003718749812597744,2222,7,0,0,0,0,0,0,34,0
ASM International NV (ADR),0.00344933857134198,2907,8,0,0,0,0,0,0,30,0
"TOKYO SEIMITSU CO., LTD.",0.0034157635664150126,4803,11,0,0,0,0,0,0,58,0
LB Semicon Co Ltd,0.0031675864829266,1999,9,0,0,0,0,0,0,25,0
Global Standard Technology Co Ltd,0.0031437513577005512,2039,9,0,0,0,0,0,0,27,0
"HOLON CO., LTD.",0.003004021049872209,1182,10,0,0,0,0,0,0,17,0
Tex Holdings plc,0.002955718265448262,1813,8,0,0,0,1,0,0,0,0
Manufacturing Integration Technology Ltd,0.002706692623428465,2230,10,0,0,0,0,0,0,24,0
Genetec Technology Berhad,0.002520019695235891,6774,10,0,0,0,0,2,0,11,0
Max Automation AG,0.0024579053712490643,2794,8,0,0,0,1,0,0,0,0
Advanced Process Systems Corp,0.0024543113727814136,1691,7,0,0,0,0,0,0,16,0
Lung Lung Pien Vacuum Industry Co Ltd,0.0023808442630466535,2841,10,0,0,0,1,0,0,0,0
GRAND PLASTIC TECHNOLOGY CORP,0.0023153858007899397,1699,9,0,0,0,0,0,0,17,0
TSE Co Ltd,0.0023010861530487437,1215,10,0,0,0,0,0,0,15,0
ASML Holding NV,0.002293712258104798,9545,13,0,0,0,0,0,0,61,0
ISC Co Ltd,0.002292088959184756,2674,9,0,0,0,0,0,0,19,0
DA Technology Co Ltd,0.002141424241324056,4037,9,0,1,2,0,0,0,2,0
APIC YAMADA CORPORATION,0.0018483390076507935,2148,9,0,0,0,0,0,0,18,0
Ferrotec Corporation,0.0016820229809488016,2393,10,0,0,0,0,0,0,18,0
Yest Co Ltd,0.0016657036594791023,3504,11,0,0,0,0,0,0,20,0
Viatron Technologies Inc,0.0016213676851946392,1974,8,0,0,0,0,0,0,11,0
EugeneTechnology Co Ltd,0.0015546792200184351,2796,9,0,0,0,0,0,0,14,0
Riber SA,0.0015178445156762254,2435,8,0,0,0,0,0,0,13,0
Techwing Inc,0.0015157498456098563,2867,13,0,0,0,0,0,0,16,0
