name,score,document_length,url_count,automotive,circuit protection,connectors,diodes,electronic material,encoders,magnetic product,passive,position sensor,potentiometers,resistive product,resistor,semiconductor component,surge protective device,switches
AVX Corporation,0.7977044522220992,4916,9,28,9,11,14,0,0,0,13,0,0,12,41,0,0,4
CTS Corporation,0.29640485626274427,3320,8,7,3,1,0,0,10,0,1,5,0,0,31,0,0,1
"Tokyo Cosmos Electric Co., Ltd.",0.2193642639074523,2406,10,20,0,0,2,0,18,0,1,2,0,0,18,0,0,1
Japan Resistor Mfg Co Ltd,0.2004959661582804,2171,12,2,0,0,0,0,0,0,0,1,10,0,117,0,0,0
KOA CORPORATION,0.19400323694342958,6936,12,23,8,0,0,0,0,0,9,0,0,0,326,0,0,0
Daejoo Electronic Materials Co Ltd,0.16972211575932392,2916,9,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0
"Ta-I Technology Co., Ltd",0.14984990868833636,6100,10,9,4,0,0,0,0,1,2,0,0,0,509,0,0,0
Yageo Corporation,0.1303855471370036,3998,13,40,2,1,0,0,0,0,15,0,0,0,98,0,0,1
"Asia Electronic Material Co., Ltd.",0.11119454476651629,1806,9,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
Viking Tech Corporation,0.1079049112293624,13268,13,63,0,0,0,0,0,0,21,0,0,0,960,0,0,0
Walsin Technology Corporation,0.10364945969283604,3098,11,5,3,2,0,0,0,0,21,0,0,0,25,0,0,2
Hokuriku Electric Industry Co Ltd,0.09866180111087752,4418,10,5,0,1,0,0,0,0,0,0,0,0,173,0,0,1
Nepes Corp,0.09256190320958745,2707,11,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"Ty-ohm Electronic Works Co., Ltd.",0.08102328979900641,3639,11,0,0,0,0,0,0,0,5,0,0,0,161,0,0,0
Guangdong Fenghua Adv. Tech. (Hldg) Co,0.07180160358271964,4021,9,1,0,0,3,6,0,0,2,0,0,0,28,0,0,0
KEMET Corporation,0.06649196852150997,5661,11,31,9,1,0,0,0,0,7,0,0,0,6,0,0,1
"Samsung Electro-Mechanics Co., Ltd.",0.04390932610552496,6978,10,10,1,1,0,0,0,0,16,0,0,0,25,0,0,1
"TDG Holding  Co., Ltd.",0.041422737533053366,2964,13,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0
D & O Green Technologies Bhd,0.03554671456894864,3902,9,11,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Arisawa Mfg. Co., Ltd.",0.03300766279688978,3469,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Prosperity Dielectrics Co., Ltd.",0.029484191805460927,3254,8,0,0,0,1,0,0,0,4,0,0,0,24,0,0,0
ABCO Electronics Co Ltd,0.027607652422385682,1582,8,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0
"Taiwan Alpha Electronic Co., Ltd.",0.026564594481050374,3647,10,2,2,0,0,0,4,0,1,0,0,0,5,0,0,0
Thinking Electronic Industrial Co Ltd,0.022842774684084556,1616,3,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
Team Young Advanced Technology Co Ltd,0.022768326717974966,3152,9,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0
ROHM COMPANY LIMITED,0.021658330692057203,12268,14,31,0,0,0,0,0,0,22,0,0,0,32,0,0,0
Ralec Electronic Corporation,0.021135808620460488,3912,9,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
"L&F Co., Ltd.",0.018538711101480174,3088,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"TOPCO Scientific Co., Ltd.",0.018389421906590462,3011,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Lite-On Semiconductor Group,0.013766322543449065,2373,11,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0
China Zhenhua (Group) Science & Tech.,0.013747261435648556,4261,9,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0
Semtech Corporation,0.012951053360651594,2130,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyntek Corporation,0.012360306366179992,2618,12,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0
Apogee Optocom Co Ltd,0.01136685863046054,1247,9,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
GCS Holdings Inc,0.00960550431494293,4221,11,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0
OPTO Tech Corporation,0.00946980107780627,4053,9,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"RDC Semiconductor Co.,Ltd",0.007803201674230098,2709,9,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"Holy Stone Enterprise Co., Ltd.",0.007423971704548304,6059,12,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Solitron Devices, Inc.",0.007153169517583462,4388,12,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
Cowell Fashion Co Ltd,0.0070871551200929125,1939,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
GTM Holdings Corp,0.006012838363540617,2282,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Daito Electron Co., Ltd.",0.0053713845416019,2674,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"WUS Printed Circuit Co., Ltd.",0.005176708604879253,2996,8,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Alliance Fiber Optic Products Inc,0.004193422975393167,7562,7,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"AOI ELECTRONICS CO.,LTD.",0.00407302157050053,2514,9,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0
Europtronic Group Ltd.,0.003812014921513504,1900,10,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0
AverLogic Technologies Corporation,0.00321845613049406,2817,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Forward Electronics Co Ltd,0.0031351418542130334,3635,10,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Wizit Co Ltd,0.0026369403874117415,3607,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Pixelplus Co Ltd,0.0024807658181054217,3966,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOCI Fiber Optic Communications, Inc.",0.0022892041290956296,2514,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"G-Shank Enterprise Co.,Ltd.",0.002232478021802727,3592,9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shenzhen Microgate Technology Co Ltd,0.001972988479871991,2244,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Abico FS Co Ltd,0.0019567969853073806,4056,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Wooriro Co Ltd,0.0013652955393717795,7919,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Advanced Microelectronic Products Inc.,0.0013580028033789919,2248,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Orient Semiconductor Electronics Ltd,0.0013043475812154904,4287,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rubicon Technology, Inc.",0.0009695043472469013,7234,13,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Ample Electronic Technology Co Ltd,0.0009643719053181093,5458,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"ThinTech Materials Technology Co., Ltd.",0.0008909960215658097,4428,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Crystal Applied Technology Inc.,0.0008172818727081891,3291,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHIBAURA ELECTRONICS CO., LTD.",7.330420559591986e-05,2085,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
