name,score,document_length,url_count,communication,component,distributor,wireless
SEIRYO ELECTRIC CORPORATION,0.014608271584373155,2956,9,21,0,1,1
Logicom Public Ltd,0.014568751413256833,4652,11,11,6,4,0
EnerSys,0.013922972547626386,3819,10,8,3,1,2
TOMEN DEVICES CORPORATION,0.011940589970857878,1930,8,5,2,3,0
"Answer Technology Co., Ltd.",0.01176479255687004,2789,12,0,0,0,3
Tatung System Technologies Inc.,0.01173409517512773,7689,13,48,0,0,3
Salora International Ltd,0.011082068893555246,3461,9,1,3,3,0
Synnex (Thailand) Public Company Limited,0.010587399765969086,2793,9,7,6,0,1
Indeks Bilgisayar Sistemleri Muhendislik,0.009869682151682647,3032,9,7,2,3,0
"FUSO DENTSU CO., LTD.",0.009396879901046007,3305,8,12,1,0,1
Esprinet SpA,0.009020205336147625,5165,10,2,5,5,0
Ace Pillar Co Ltd,0.008893155482910108,3028,9,0,5,2,1
Ideiasnet SA,0.00886174038247472,1956,6,8,2,0,1
Futong Technology Development Hldgs Ltd,0.008796673390993767,3737,9,3,1,3,0
Malmbergs Elektriska AB,0.008668844124855593,2951,9,1,17,1,0
LG International Corp,0.008456042143811385,3640,9,11,2,1,1
Unitech Computer Co Ltd,0.00819620993233148,3125,9,1,4,0,1
Daetwyler Holding AG,0.00810966475660196,3554,8,2,39,2,0
Sentronic International Corp,0.008098512373157202,4176,9,8,18,1,0
Electronics Communctns Tech Inv Dev Corp,0.00809494437796994,3035,5,41,0,0,1
Datagate Bilgisayar Malzemeleri Ticrt AS,0.008051285158603276,3546,9,0,1,6,0
Brimag Digital Age Ltd.,0.007828618499418736,2601,8,1,0,3,0
Computer Warehouse Group PLC,0.007540118796920672,3532,8,29,0,0,1
GRODNO SA,0.006927846070144179,4935,11,1,1,3,0
Mystic Electronics Ltd,0.006852785619844369,4845,10,3,2,2,1
MARUBUN CORPORATION,0.006468677798149771,2555,8,4,18,0,0
"DENKYOSHA CO., LTD.",0.006456500690930451,2581,13,4,4,1,0
Podak Co Ltd,0.006136697191137723,2603,9,1,16,1,0
TAKEBISHI CORPORATION,0.005613992041224326,2454,10,15,6,0,0
"Howteh Technology Co., Ltd.",0.005304239863175151,2347,9,6,12,0,0
"Fujian Furi Electronics Co., Ltd.",0.00517408344080993,3011,8,5,3,1,0
Kingpak Technology Inc,0.004960627896539996,3519,13,0,1,3,0
"WT Microelectronics Co., Ltd.",0.004951438291023633,2104,12,6,11,0,0
"Shenzhen Aisidi Co., LTD.",0.0048324409246951056,2082,8,5,1,1,0
"Techno Alpha Co., Ltd.",0.004789181083848717,3296,10,1,3,2,0
Pierides Holdings Plc,0.00453978386820033,4183,10,2,18,2,0
