name,score,document_length,url_count,cable,rental,telecommunications
HELLENIC TELECOM. ORGANIZATION S.A.,0.01504061865307043,10820,13,1,1,4
Symphony Communication PCL,0.0148690679763893,5071,11,7,0,4
Centurylink Inc,0.01480632659909379,7062,10,8,1,0
Telefonica del Peru S.A.A.,0.014795679172475651,3294,9,5,0,4
Palestinian Telecommunications Company,0.014608787718752602,9167,12,8,0,12
Qwest Corporation,0.01457705885476703,9147,10,17,0,5
Makedonski Telekom AD Skopje,0.014561458797096522,4787,9,1,1,2
Allot Communications Ltd,0.014222902440274415,4470,12,2,2,1
Tata Communications Limited,0.013650540591871305,12187,14,28,0,3
Reliance Communications Ltd,0.013518137534941643,10318,13,15,0,7
Pakistan Telecommunication Company Ltd.,0.013385902209942773,7015,13,11,0,5
Alaska Communications Systems Group Inc,0.012988423268426873,3094,8,5,0,4
Bezeq the Israeli Telecomunictn Corp Ltd,0.012669797645324526,5062,13,8,0,3
StarHub Ltd.,0.012652357811349466,4902,7,23,0,2
Telecomunicacoes Brasileiras SA TELEBRAS,0.012181430731109888,3213,10,1,0,8
Global Telecom Holding SAE,0.011931679851364792,4868,10,7,0,3
AcrossAsia Ltd,0.011112531834016306,1902,7,5,0,2
Median Group Inc,0.010899716529558356,13003,10,4,1,2
Dr Peng Telecom & Media Group Co Ltd,0.010257840160919613,3403,9,1,0,10
Econet Wireless Zimbabwe Ltd,0.009733347179946226,3852,12,3,0,6
TELUS Corporation (USA),0.009713925674318835,7483,10,13,0,1
Jordan Telecommunications Company PLC,0.009430984708587267,7090,7,8,0,3
NORDTELEKOM Tavkozlesi Szolgaltato Nyrt,0.009375908691181604,4739,10,3,0,4
Tsentral'nyi Telegraf PAO,0.00889821699923395,2275,8,0,0,6
Huge Group Ltd.,0.008648320675788603,3539,12,0,1,2
Inteliquent Inc,0.008646386267674602,4252,10,14,0,0
Megafon PAO,0.008626519687167733,7725,10,3,0,7
America Movil SAB de CV,0.008393070406056689,5071,10,12,0,2
SK Telecom Co Ltd (ADR),0.00834601348992725,68779,10,94,1,0
China Unicom (Hong Kong) Limited,0.00829294461207291,5929,10,4,0,4
Externet Telekommnkcs Intrnt Szlglt Nyrt,0.008146227257836333,1590,6,3,0,1
Masmovil Ibercom SA,0.00810918402789959,2920,9,1,0,4
Midas SA,0.008010109449254774,12069,11,4,2,0
Reti Telematiche Italiane SpA,0.007979297576042323,11220,9,13,0,4
PLDT Inc (ADR),0.007678404906153855,5643,10,7,0,1
HC2 Holdings Inc,0.007651809362747617,12671,11,27,0,2
Empresa Nacional de Telecomunicaciones,0.007546549972204061,4999,9,0,1,2
Mobile Telecommunications Co Su Arb SJSC,0.007543812715753913,7849,8,5,0,4
Jereissati Participacoes SA,0.007526575029030922,5157,9,3,0,6
Bashinformsvyaz' PAO (P),0.007461298921406164,4429,10,0,0,8
Mobil'nye Telesistemy PAO,0.007450333650044435,3892,10,0,0,10
Deutsche Telekom AG,0.006798476454720574,13283,18,11,0,4
DiGi.Com Bhd,0.0065173694538471745,9074,12,6,0,5
Omani Qatari Telecommunications Co SAOG,0.006494492916660935,4052,10,1,0,6
Tattelekom PAO,0.006445518388053149,2710,9,0,0,6
LICT Corporation,0.0064383194928658545,5942,12,13,0,0
SoftBank Group Corp,0.006432366815650592,11170,13,6,0,5
"Telephone & Data Systems, Inc.",0.006409549717381361,3961,10,7,0,2
Orange SA,0.006383954148515135,11386,12,13,0,1
Telenor ASA,0.006268648865485542,9957,10,7,0,3
Amalgamated Telecom Holding Limited,0.006164350593586539,4178,6,9,0,0
"Globe Telecom, Inc.",0.0061600958456391195,6008,12,3,0,3
New Ulm Telecom Inc,0.006156599295152913,2651,13,1,0,4
KDDI Corp,0.00597947229218791,4868,10,6,0,1
Al Khatem Telecommunications Co,0.005926230249862947,6572,12,3,0,3
Telecom Argentina SA,0.005915998935389245,7566,8,15,0,2
CMC Infocomm Ltd,0.005852122037594239,6972,12,2,1,0
National Mobile Telecommuncatins Co KSCP,0.005848717033450713,5209,8,4,0,3
Atom Participacoes SA em Recuperco Judcl,0.005840165630188658,60754,9,2,8,6
Swisscom AG,0.005826568627067417,8609,10,6,0,3
NTELOS Holdings Corp,0.005810215503463148,7796,11,9,0,1
Kuwait Telecommunications Company KSCP,0.005796599465352396,3651,14,1,0,4
Jereissati Telecom SA,0.005760357929218213,4497,9,7,0,2
Bharti Airtel Limited,0.005705919297951241,15566,14,10,0,7
Global Telecom Holding SAE - GDR,0.005686370550087396,4993,9,9,0,2
"Beijing Bewinner Communications Co., Ltd",0.0054420633866896495,2618,9,1,0,3
Maxcom Telecomunicaciones SA de CV,0.005413249000797455,6568,10,2,0,10
NNK Group Ltd,0.0052877087018148115,2095,7,0,0,4
Telecom Egypt Company,0.005209090855261059,5880,12,9,0,2
Samart Corporation PCL,0.005183357155426996,4273,9,0,1,0
Windstream Holdings Inc,0.005102353518027585,37516,13,40,0,3
Tata Teleservices (Maharashtra) Limited,0.005089987868751596,5102,9,1,0,5
Sri Lanka Telecom PLC,0.005066703816605787,4836,13,9,0,0
Sunrise Communications Group AG,0.005025303289276921,4157,9,2,0,6
Satcom Systems Ltd,0.004998223610220949,2451,9,3,0,2
Ground International Development Ltd,0.004986664266431808,5080,12,0,0,9
Indosat Tbk PT,0.004924999902531275,4663,8,1,0,5
QSC  AG,0.004792567634199523,4515,10,1,0,5
Telefonica Chile SA,0.004790855842035726,5008,9,5,0,2
Vivocom Intl Holdings Bhd,0.004720725461809359,3742,9,0,0,6
BH Telecom d.d. Sarajevo,0.004594703703787543,4325,9,0,0,8
Turk Telekomunikasyon A.S.,0.004417543445370789,9060,13,13,0,0
Orange Polska SA,0.004412719417299328,3381,10,2,0,3
Tiscali S.p.A.,0.004402129610560314,4453,12,0,0,9
Newsphone Hellas S.A.,0.003947311363978216,3865,14,2,0,3
Sejong Telecom Inc,0.0038172228096786474,2466,7,0,0,4
United States Cellular Corp,0.0037155783165794196,5671,8,1,0,5
FTE Networks Inc,0.0034602066440800067,3783,11,5,0,0
China United Network Communications Ltd,0.0034200799719432836,7455,10,2,0,6
TIM Participacoes SA,0.003400291421152118,4162,10,2,0,3
Bahrain Telecommunications Company BSC,0.003385721600301399,4936,8,5,0,0
Telefonaktiebolaget LM Ericsson,0.0032810293897838506,14438,20,14,0,2
Orange SA (ADR),0.003216695656524674,4635,10,5,0,0
Etihad Etisalat Company,0.003192283470404772,7730,10,6,0,2
KazTransCom AO,0.0031104262055633007,5051,10,1,0,3
Saudi Telecom Company,0.00309122800688432,6009,13,6,0,0
Oi SA,0.0030460011684183604,5871,10,2,0,5
Tellza Communications Inc,0.0030044904811714897,3490,10,0,0,4
Flexiroam Ltd,0.002928679220446397,8393,12,11,0,0
Airtel Networks Zambia PLC,0.002892198842704851,2836,8,0,0,3
TalkPool AG,0.002866164688166595,5450,8,2,0,4
Netia SA,0.0027875289639275806,1507,12,1,0,2
Dialog Axiata PLC.,0.0026989520604181333,9240,14,6,0,1
Telefonica S.A. (ADR),0.0026194393832981787,5298,10,4,0,0
Telehop Communications Inc,0.0025736613562350324,4224,13,4,0,0
Iliad SA,0.00252435730515616,3883,10,0,0,3
Liberty Telecoms Holdings Inc,0.00250200635352858,3752,10,0,0,4
NextGenTel Holding ASA,0.0024946964670476556,5014,10,0,0,4
Drillisch AG,0.0024538322082074903,3233,10,0,0,3
Baltic Bridge SA,0.002381168668460066,4304,9,0,0,3
Etihad Atheeb Telecommunication Co,0.0023471936021116197,9334,13,1,0,5
Deutsche Telekom AG (ADR),0.002336571259448849,5750,10,4,0,0
Hutchison Telecommunications HK Hld Ltd,0.00230214748597463,5070,12,0,0,5
PrimeTel Plc,0.002282351989918969,4526,13,5,0,0
Orange Belgium SA,0.00219832809415129,4195,9,3,0,0
Telefonica Deutschland Holding AG,0.0021664800026983595,4272,10,0,0,4
Unima 2000 Systemy Teleinformatyczne SA,0.0020924994831723644,6519,13,0,0,5
Grameenphone Ltd,0.0020494302880686927,11826,12,3,0,2
"Fusion Telecommunications Int'l, Inc.",0.0018765854564069824,8046,11,1,0,3
Nortel Inversora SA (ADR),0.0017895350920105063,7887,10,5,0,0
Xinghe Holdings Bhd,0.0017437413448031435,7063,14,0,0,4
Press Corporation Ltd.,0.001716133640291487,5372,13,0,0,3
China Telecom Corporation Limited,0.001710376632994828,4968,10,0,0,3
Almendral SA,0.0016967060084754036,2691,11,1,0,1
Mobil'nye Telesistemy PAO (ADR),0.001689979198358079,6688,14,0,0,4
Saigon Telecommunication & Tech Corp,0.0016354128610666923,6337,9,3,0,0
MEDIATEL SA,0.0015603425764636088,2485,8,1,0,2
Intracom Holdings S.A.,0.0015396985129740022,6921,13,0,0,4
OKINAWA CELLULAR TELEPHONE COMPANY,0.0013847014368032872,2362,9,1,0,2
Ooredoo QSC,0.001356992977500882,5747,9,0,0,3
China Mobile Ltd. (ADR),0.0013472568828004187,8067,10,3,0,0
Vodafone Qatar QSC,0.0011644508722715163,3350,14,1,0,2
Enice Holding Co Ltd,0.0011316807547032187,3651,9,1,0,2
MAXIS BERHAD,0.0011166739771944559,7909,9,3,0,0
Sonaecom SGPS SA,0.0010810543825995967,5485,13,0,0,4
Telekom Srpske a.d. Banja Luka,0.0010550274599345113,4425,7,1,0,2
AllTele Allmanna Svenska Telefktgt(publ),0.0009402103858693401,5190,10,1,0,2
Safaricom Limited,0.0009324896009377697,5107,8,1,0,2
"Chunghwa Telecom Co., Ltd (ADR)",0.0008662359050060254,5503,9,2,0,1
Axiata Group Bhd,0.0008045639163034914,4736,10,1,0,2
Societe National ds Telcmnctns d Sngl SA,0.000671550239017289,7868,12,1,0,2
Nacional Telefonos de Venezuela CA,0.000631663344580927,5187,7,2,0,1
Far Eastern New Century Corp,0.0006121381736940749,6600,13,1,0,2
Grupo Ezentis SA,0.00045287896476926414,3459,9,1,0,0
