name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
C&C Group Plc,0.8862216433938551,5327,14,32,51,152,5,29,52
Chapel Down Group PLC,0.17432541153624542,5005,8,3,40,8,1,8,140
Marston's PLC,0.15076733194535152,15813,12,8,277,14,13,1,10
African Distillers Ltd,0.1467581127534054,2873,12,7,8,8,0,24,25
Bodegas Bilbainas SA,0.13771519258223835,7733,12,22,5,6,4,32,179
Laurent-Perrier SA,0.1359234009619612,7844,18,34,13,14,0,21,194
Kook Soon Dang Co Ltd,0.13319711515197066,5342,16,31,4,10,2,12,135
Vinedos Emiliana SA,0.11760505174878647,3972,14,58,3,4,1,11,119
Abrau-Durso PAO,0.11539799291644551,6590,16,19,8,7,0,18,211
Majestic Wine PLC,0.0993479906847262,5628,8,8,15,6,2,14,190
Bodegas Riojanas SA,0.07813694542649387,4287,9,10,2,4,0,19,82
"Fuller, Smith & Turner plc",0.06789978626279157,4122,6,2,91,0,2,4,7
Latvijas balzams AS,0.06246503980351113,1736,9,30,0,3,0,1,7
Greene King plc,0.05901507614484069,5428,13,1,130,0,2,6,2
Vina Concha y Toro SA,0.05616803603739576,5295,9,3,3,2,3,6,110
Associated Alcohol and Breweries Ltd,0.052768675080654595,4852,8,130,0,0,0,10,3
13 Jul Plantaze ad Podgorica,0.050390381670598006,3456,8,6,6,0,1,5,76
Ceylon Beverage Holdings PLC,0.0428434358386702,4853,7,16,22,0,1,9,7
Lamdong Foodstuffs JSC,0.04260709140650927,2684,10,4,4,0,2,6,86
Vinzavod AD,0.03745647701095128,3465,10,21,0,0,0,6,122
Badel 1862 dd,0.03536802939941552,3184,11,26,0,0,2,18,57
Zhejiang GuYueLongShan Shaoxing Wine Co.,0.03448772763364167,4225,10,3,1,0,0,7,152
Thang Long Wine JSC,0.03428382845901683,3929,10,16,4,0,1,0,127
Yantai Changyu Pioneer Wine Company Ltd,0.03419785551745696,3900,6,3,0,0,0,5,173
Andrew Peller Ltd.,0.03389595379455662,3072,9,0,0,1,0,4,196
Radico Khaitan Limited,0.030184007016027407,5584,9,19,3,0,2,21,10
Tilaknagar Industries Ltd,0.02886236626410347,4247,10,15,0,0,5,11,3
Ginebra San Miguel Inc,0.02756111953988542,8475,17,42,17,0,1,10,7
Crimson Wine Group Ltd,0.025097691054602408,4646,12,1,0,0,0,3,177
Emperador Inc,0.02451976900133221,5034,9,15,2,0,1,22,6
Vina San Pedro Tarapaca SA,0.024491605866875512,3897,8,5,0,0,2,1,111
Spritzer Bhd,0.023330971700458867,4120,9,3,0,0,22,0,1
J Boutaris & Son Holding S.A.,0.01882500001580929,3499,8,1,15,0,0,0,51
Vranken-Pommery Monopole SA,0.01874717257261308,3906,8,21,3,0,0,5,31
China Tontine Wines Group Limited,0.01712539878118561,3737,8,3,0,0,0,0,122
