name,score,document_length,url_count,car,engine,industrial,lubricant,lubricate,oil
BP plc (ADR),0.000988402037150356,8979,13,40,1,2,6,0,159
Vivo Energy Cote d'Ivoire SA,0.0009465181549280505,5311,10,61,1,1,12,0,9
Petrolimex Saigon Trans and Service JSC,0.0008973349546061166,6006,9,15,1,1,1,0,12
Neftemarket OAO,0.0008326260897637616,3743,8,11,0,4,3,0,49
Antarchile SA,0.0008154191524598765,7622,9,20,0,16,7,0,5
Materials Petroleum JSC,0.000779601241369309,2665,7,8,0,5,2,0,34
Martin Midstream Partners L.P.,0.0006808983720421793,8283,13,21,0,5,18,0,12
Atlantik Petrol Urnlr Tcrt ve SAS,0.0006786153209282163,5437,10,23,0,4,8,0,45
"FUJI KOSAN COMPANY, LTD.",0.0006618420691561673,3436,9,7,0,2,8,0,46
Esso Societe Anonyme Francaise,0.000531144889162395,3443,8,6,0,0,10,0,28
BROAD GATE SA,0.0005125270077486118,6840,14,10,0,5,1,0,28
Total Maroc SA,0.0005081423568129115,4223,8,11,0,1,8,0,54
SK Networks Co Ltd,0.0004875986406114515,4411,9,20,0,3,6,0,26
Compania Logistica de Hidrocarbrs CLH SA,0.00044499208522964345,7690,16,85,0,1,6,0,124
Naftopererobnyi Kompleks - Halychyna VAT,0.00040408239476216897,7649,8,7,1,0,0,0,11
Meghna Petroleum Ltd,0.00035028565130318677,3804,13,23,0,0,7,0,67
NNK - Khabarovsknefteprodukt AO,0.0003424337276199008,6030,8,19,0,2,4,0,23
Joong Ang Enervis Co Ltd,0.00022203288474759424,3259,8,6,0,1,1,0,41
Sinopec Shandong Taishan Petrolum Co Ltd,0.0002066603491868355,2100,8,3,0,1,0,0,28
Kontsern Halnaftohaz PAT,0.00019342538334384072,3115,9,6,0,1,2,0,13
Terminali a.d. Doboj,0.00010155731926449592,26169,6,38,2,0,0,0,1
